Fecha;Region Hidrologica;Nombre Río;Aportes Caudal m3/s;Aportes Energía kWh;Aportes %
2007-01-01;ANTIOQUIA;A. SAN LORENZO;22,32;4.526.100,00;93,51%
2007-01-01;ANTIOQUIA;CONCEPCION;4,65;1.043.000,00;93,96%
2007-01-01;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);8,78;1.969.600,00;113,20%
2007-01-01;ANTIOQUIA;GRANDE;21,86;5.321.000,00;93,68%
2007-01-01;ANTIOQUIA;GUADALUPE;13,61;3.051.100,00;97,48%
2007-01-01;ANTIOQUIA;GUATAPE;16,20;2.420.200,00;70,56%
2007-01-01;ANTIOQUIA;MIEL I;63,06;2.519.300,00;79,72%
2007-01-01;ANTIOQUIA;NARE;20,65;6.922.500,00;58,47%
2007-01-01;ANTIOQUIA;PORCE II;78,77;3.890.400,00;146,81%
2007-01-01;ANTIOQUIA;SAN CARLOS;23,86;2.596.000,00;135,21%
2007-01-01;ANTIOQUIA;TENCHE;2,18;488.600,00;81,43%
2007-01-01;CARIBE;SINU URRA;207,55;2.271.900,00;120,21%
2007-01-01;CENTRO;BOGOTA N.R.;0,00;;
2007-01-01;CENTRO;MAGDALENA BETANIA;267,36;3.953.300,00;95,72%
2007-01-01;CENTRO;PRADO;21,67;233.000,00;46,60%
2007-01-01;ORIENTE;BATA;19,04;3.172.400,00;121,55%
2007-01-01;ORIENTE;CHUZA;1,32;574.700,00;43,87%
2007-01-01;ORIENTE;GUAVIO;15,37;3.648.400,00;83,30%
2007-01-01;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;2.814.100,00;83,50%
2007-01-01;VALLE;ALTOANCHICAYA;33,16;3.466.000,00;79,86%
2007-01-01;VALLE;CALIMA;8,64;386.600,00;78,90%
2007-01-01;VALLE;CAUCA SALVAJINA;170,32;3.594.700,00;103,00%
2007-01-01;VALLE;DIGUA;22,90;356.500,00;86,95%
2007-01-01;VALLE;FLORIDA II;7,59;151.800,00;116,77%
2007-01-02;ANTIOQUIA;A. SAN LORENZO;25,13;5.095.900,00;105,29%
2007-01-02;ANTIOQUIA;CONCEPCION;3,53;790.900,00;71,25%
2007-01-02;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);9,52;2.133.900,00;122,64%
2007-01-02;ANTIOQUIA;GRANDE;22,65;5.514.300,00;97,08%
