Fecha;Region Hidrologica;Nombre Río;Aportes Caudal m3/s;Aportes Energía kWh;Aportes %
2010-01-01;ANTIOQUIA;A. SAN LORENZO;18,81;4.352.200,00;78,84%
2010-01-01;ANTIOQUIA;CONCEPCION;3,41;824.500,00;67,03%
2010-01-01;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);5,66;1.367.800,00;71,24%
2010-01-01;ANTIOQUIA;GRANDE;13,13;3.059.500,00;56,24%
2010-01-01;ANTIOQUIA;GUADALUPE;8,56;2.066.700,00;61,33%
2010-01-01;ANTIOQUIA;GUATAPE;30,59;5.193.000,00;130,81%
2010-01-01;ANTIOQUIA;MIEL I;72,70;3.251.800,00;88,12%
2010-01-01;ANTIOQUIA;NARE;12,66;4.491.400,00;35,51%
2010-01-01;ANTIOQUIA;PORCE II;57,04;2.706.800,00;104,51%
2010-01-01;ANTIOQUIA;SAN CARLOS;10,05;1.322.800,00;56,77%
2010-01-01;ANTIOQUIA;TENCHE;0,79;191.100,00;29,40%
2010-01-01;CARIBE;SINU URRA;161,56;1.819.700,00;95,27%
2010-01-01;CENTRO;BOGOTA N.R.;0,00;;
2010-01-01;CENTRO;MAGDALENA BETANIA;151,45;2.319.400,00;53,69%
2010-01-01;CENTRO;PRADO;23,17;272.700,00;49,58%
2010-01-01;ORIENTE;BATA;8,73;1.461.000,00;55,34%
2010-01-01;ORIENTE;CHUZA;0,68;296.100,00;23,13%
2010-01-01;ORIENTE;GUAVIO;8,50;2.014.100,00;46,30%
2010-01-01;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;2.058.300,00;60,72%
2010-01-01;VALLE;ALTOANCHICAYA;31,47;3.209.600,00;73,45%
2010-01-01;VALLE;CALIMA;0,00;;
2010-01-01;VALLE;CAUCA SALVAJINA;119,50;2.867.400,00;72,23%
2010-01-01;VALLE;DIGUA;21,30;358.000,00;79,56%
2010-01-01;VALLE;FLORIDA II;5,61;112.200,00;86,31%
2010-01-02;ANTIOQUIA;A. SAN LORENZO;18,47;4.273.600,00;77,42%
2010-01-02;ANTIOQUIA;CONCEPCION;3,63;876.200,00;71,24%
2010-01-02;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);5,56;1.343.000,00;69,95%
2010-01-02;ANTIOQUIA;GRANDE;13,73;3.198.600,00;58,80%
2010-01-02;ANTIOQUIA;GUADALUPE;10,26;2.479.400,00;73,57%
2010-01-02;ANTIOQUIA;GUATAPE;15,01;2.547.400,00;64,17%
2010-01-02;ANTIOQUIA;MIEL I;87,80;3.927.200,00;106,43%
2010-01-02;ANTIOQUIA;NARE;12,66;4.491.400,00;35,51%
2010-01-02;ANTIOQUIA;PORCE II;54,73;2.597.200,00;100,28%
2010-01-02;ANTIOQUIA;SAN CARLOS;10,18;1.339.900,00;57,51%
2010-01-02;ANTIOQUIA;TENCHE;1,60;386.300,00;59,43%
2010-01-02;CARIBE;SINU URRA;153,60;1.730.000,00;90,58%
2010-01-02;CENTRO;BOGOTA N.R.;0,00;;
2010-01-02;CENTRO;MAGDALENA BETANIA;102,04;1.562.700,00;36,17%
2010-01-02;CENTRO;PRADO;1,88;22.100,00;4,02%
2010-01-02;ORIENTE;BATA;8,55;1.430.900,00;54,20%
2010-01-02;ORIENTE;CHUZA;0,56;243.800,00;19,05%
2010-01-02;ORIENTE;GUAVIO;11,08;2.625.500,00;60,36%
2010-01-02;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;1.944.600,00;57,36%
2010-01-02;VALLE;ALTOANCHICAYA;29,54;3.012.700,00;68,94%
2010-01-02;VALLE;CALIMA;2,04;88.300,00;18,40%
2010-01-02;VALLE;CAUCA SALVAJINA;108,56;2.604.900,00;65,61%
2010-01-02;VALLE;DIGUA;15,86;266.600,00;59,24%
2010-01-02;VALLE;FLORIDA II;5,24;104.800,00;80,62%
2010-01-03;ANTIOQUIA;A. SAN LORENZO;18,08;4.183.300,00;75,78%
2010-01-03;ANTIOQUIA;CONCEPCION;2,83;682.700,00;55,50%
2010-01-03;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);5,45;1.317.300,00;68,61%
2010-01-03;ANTIOQUIA;GRANDE;12,63;2.942.300,00;54,09%
2010-01-03;ANTIOQUIA;GUADALUPE;11,19;2.703.100,00;80,21%
2010-01-03;ANTIOQUIA;GUATAPE;15,19;2.578.700,00;64,95%
2010-01-03;ANTIOQUIA;MIEL I;72,61;3.247.800,00;88,02%
2010-01-03;ANTIOQUIA;NARE;19,77;7.014.400,00;55,45%
2010-01-03;ANTIOQUIA;PORCE II;55,72;2.644.200,00;102,09%
