Fecha;Region Hidrologica;Nombre Río;Aportes Caudal m3/s;Aportes Energía kWh;Aportes %
2013-01-01;ANTIOQUIA;A. SAN LORENZO;22,00;5.108.800,00;90,74%
2013-01-01;ANTIOQUIA;CONCEPCION;3,64;1.146.600,00;70,78%
2013-01-01;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);4,96;1.564.100,00;62,07%
2013-01-01;ANTIOQUIA;GRANDE;14,28;4.386.100,00;61,00%
2013-01-01;ANTIOQUIA;GUADALUPE;7,51;2.369.400,00;53,97%
2013-01-01;ANTIOQUIA;GUATAPE;25,24;4.284.400,00;104,75%
2013-01-01;ANTIOQUIA;MIEL I;73,88;3.374.600,00;88,11%
2013-01-01;ANTIOQUIA;NARE;26,77;9.498.600,00;73,92%
2013-01-01;ANTIOQUIA;PORCE II;70,19;8.527.100,00;126,70%
2013-01-01;ANTIOQUIA;PORCE III;1,76;129.900,00;8,44%
2013-01-01;ANTIOQUIA;SAN CARLOS;23,50;3.093.700,00;132,78%
2013-01-01;ANTIOQUIA;TENCHE;2,01;632.900,00;74,46%
2013-01-01;CARIBE;SINU URRA;107,99;1.225.600,00;63,18%
2013-01-01;CENTRO;BOGOTA N.R.;3,15;1.252.900,00;36,21%
2013-01-01;CENTRO;MAGDALENA BETANIA;215,66;3.247.300,00;76,23%
2013-01-01;CENTRO;PRADO;11,93;140.900,00;25,62%
2013-01-01;ORIENTE;BATA;9,34;2.136.300,00;81,23%
2013-01-01;ORIENTE;CHUZA;2,89;1.149.500,00;100,83%
2013-01-01;ORIENTE;GUAVIO;17,36;4.053.100,00;95,37%
2013-01-01;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;2.539.100,00;74,46%
2013-01-01;VALLE;ALTOANCHICAYA;25,18;2.669.800,00;61,52%
2013-01-01;VALLE;CALIMA;4,34;199.700,00;39,16%
2013-01-01;VALLE;CAUCA SALVAJINA;76,40;1.826.800,00;45,33%
2013-01-01;VALLE;DIGUA;18,79;240.000,00;55,81%
2013-01-01;VALLE;FLORIDA II;7,20;144.000,00;110,77%
2013-01-02;ANTIOQUIA;A. SAN LORENZO;23,76;5.518.000,00;98,01%
2013-01-02;ANTIOQUIA;CONCEPCION;3,62;1.142.800,00;70,54%
2013-01-02;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);4,90;1.545.100,00;61,31%
2013-01-02;ANTIOQUIA;GRANDE;14,26;4.377.500,00;60,88%
2013-01-02;ANTIOQUIA;GUADALUPE;11,14;3.511.200,00;79,98%
2013-01-02;ANTIOQUIA;GUATAPE;24,43;4.148.400,00;101,43%
2013-01-02;ANTIOQUIA;MIEL I;61,68;2.817.300,00;73,56%
2013-01-02;ANTIOQUIA;NARE;29,39;10.429.300,00;81,16%
2013-01-02;ANTIOQUIA;PORCE II;51,34;6.237.200,00;92,68%
2013-01-02;ANTIOQUIA;PORCE III;50,13;3.698.900,00;240,19%
2013-01-02;ANTIOQUIA;SAN CARLOS;28,16;3.707.900,00;159,14%
2013-01-02;ANTIOQUIA;TENCHE;2,24;706.000,00;83,06%
2013-01-02;CARIBE;SINU URRA;121,29;1.376.600,00;70,96%
2013-01-02;CENTRO;BOGOTA N.R.;6,28;2.497.900,00;72,19%
2013-01-02;CENTRO;MAGDALENA BETANIA;200,95;3.025.800,00;71,03%
2013-01-02;CENTRO;PRADO;16,30;192.500,00;35,00%
2013-01-02;ORIENTE;BATA;12,40;2.240.400,00;85,19%
2013-01-02;ORIENTE;CHUZA;2,29;910.900,00;79,90%
2013-01-02;ORIENTE;GUAVIO;17,22;4.020.400,00;94,60%
2013-01-02;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;2.716.100,00;79,65%
2013-01-02;VALLE;ALTOANCHICAYA;22,51;2.386.700,00;54,99%
2013-01-02;VALLE;CALIMA;6,52;300.000,00;58,82%
2013-01-02;VALLE;CAUCA SALVAJINA;73,67;1.761.500,00;43,71%
2013-01-02;VALLE;DIGUA;17,23;220.000,00;51,16%
2013-01-02;VALLE;FLORIDA II;6,20;124.000,00;95,38%
2013-01-03;ANTIOQUIA;A. SAN LORENZO;20,01;4.645.800,00;82,52%
2013-01-03;ANTIOQUIA;CONCEPCION;4,14;1.305.800,00;80,60%
2013-01-03;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);4,52;1.425.300,00;56,56%
2013-01-03;ANTIOQUIA;GRANDE;15,96;4.899.800,00;68,15%
2013-01-03;ANTIOQUIA;GUADALUPE;12,17;3.836.300,00;87,39%
2013-01-03;ANTIOQUIA;GUATAPE;40,10;6.808.700,00;166,47%
2013-01-03;ANTIOQUIA;MIEL I;65,10;2.973.800,00;77,64%
2013-01-03;ANTIOQUIA;NARE;23,08;8.189.300,00;63,73%
2013-01-03;ANTIOQUIA;PORCE II;33,81;4.107.600,00;61,03%
2013-01-03;ANTIOQUIA;PORCE III;0,37;27.500,00;1,79%
2013-01-03;ANTIOQUIA;SAN CARLOS;38,22;5.032.800,00;216,00%
2013-01-03;ANTIOQUIA;TENCHE;1,48;465.700,00;54,79%
2013-01-03;CARIBE;SINU URRA;160,00;1.815.900,00;93,60%
2013-01-03;CENTRO;BOGOTA N.R.;2,85;1.133.600,00;32,76%
2013-01-03;CENTRO;MAGDALENA BETANIA;187,92;2.829.600,00;66,42%
2013-01-03;CENTRO;PRADO;11,95;141.200,00;25,67%
2013-01-03;ORIENTE;BATA;10,73;2.112.900,00;80,34%
2013-01-03;ORIENTE;CHUZA;2,39;950.600,00;83,39%
