Fecha;Region Hidrologica;Nombre Río;Aportes Caudal m3/s;Aportes Energía kWh;Aportes %
2011-01-01;ANTIOQUIA;A. SAN LORENZO;35,44;8.200.800,00;146,70%
2011-01-01;ANTIOQUIA;CONCEPCION;3,96;1.249.500,00;76,66%
2011-01-01;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);5,28;1.665.400,00;65,57%
2011-01-01;ANTIOQUIA;GRANDE;31,98;9.810.400,00;136,26%
2011-01-01;ANTIOQUIA;GUADALUPE;16,54;5.214.800,00;118,25%
2011-01-01;ANTIOQUIA;GUATAPE;69,22;11.748.400,00;287,95%
2011-01-01;ANTIOQUIA;MIEL I;122,19;5.465.300,00;145,35%
2011-01-01;ANTIOQUIA;NARE;35,65;12.649.000,00;98,97%
2011-01-01;ANTIOQUIA;PORCE II;46,52;5.639.900,00;83,93%
2011-01-01;ANTIOQUIA;SAN CARLOS;13,44;1.768.900,00;74,95%
2011-01-01;ANTIOQUIA;TENCHE;1,43;451.000,00;53,06%
2011-01-01;CARIBE;SINU URRA;243,72;2.745.100,00;142,97%
2011-01-01;CENTRO;BOGOTA N.R.;24,07;10.479.300,00;277,97%
2011-01-01;CENTRO;MAGDALENA BETANIA;255,78;3.917.100,00;89,23%
2011-01-01;CENTRO;PRADO;38,80;456.700,00;83,04%
2011-01-01;ORIENTE;BATA;21,50;3.598.100,00;136,29%
2011-01-01;ORIENTE;CHUZA;1,50;653.100,00;51,02%
2011-01-01;ORIENTE;GUAVIO;20,74;4.914.500,00;112,72%
2011-01-01;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;4.300.700,00;125,75%
2011-01-01;VALLE;ALTOANCHICAYA;46,14;4.705.700,00;107,19%
2011-01-01;VALLE;CALIMA;20,37;881.500,00;179,90%
2011-01-01;VALLE;CAUCA SALVAJINA;151,67;3.639.400,00;91,21%
2011-01-01;VALLE;DIGUA;13,98;235.000,00;52,22%
2011-01-01;VALLE;FLORIDA II;10,36;207.200,00;159,38%
2011-01-02;ANTIOQUIA;A. SAN LORENZO;32,12;7.432.400,00;132,96%
2011-01-02;ANTIOQUIA;CONCEPCION;5,88;1.853.400,00;113,71%
2011-01-02;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);6,20;1.955.200,00;76,98%
2011-01-02;ANTIOQUIA;GRANDE;27,69;8.493.400,00;117,96%
2011-01-02;ANTIOQUIA;GUADALUPE;15,52;4.893.200,00;110,96%
2011-01-02;ANTIOQUIA;GUATAPE;77,93;13.228.000,00;324,22%
2011-01-02;ANTIOQUIA;MIEL I;102,21;4.571.800,00;121,59%
