Fecha;Region Hidrologica;Nombre Río;Aportes Caudal m3/s;Aportes Energía kWh;Aportes %
2020-01-01;ANTIOQUIA;A. SAN LORENZO;29,47;6.634.200,00;121,28%
2020-01-01;ANTIOQUIA;CARLOS LLERAS;19,13;2.935.200,00;73,93%
2020-01-01;ANTIOQUIA;CONCEPCION;7,54;2.107.900,00;147,41%
2020-01-01;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);9,83;2.748.300,00;123,24%
2020-01-01;ANTIOQUIA;DESV. GUARINO;3,21;157.000,00;10,33%
2020-01-01;ANTIOQUIA;DESV. MANSO;7,74;378.400,00;70,07%
2020-01-01;ANTIOQUIA;GRANDE;38,29;13.293.100,00;165,75%
2020-01-01;ANTIOQUIA;GUADALUPE;15,27;4.269.700,00;110,90%
2020-01-01;ANTIOQUIA;GUATAPE;26,65;4.510.500,00;107,91%
2020-01-01;ANTIOQUIA;MIEL I;48,98;2.394.600,00;57,70%
2020-01-01;ANTIOQUIA;NARE;54,29;15.405.700,00;118,87%
2020-01-01;ANTIOQUIA;PORCE III;4,96;382.500,00;25,16%
2020-01-01;ANTIOQUIA;PORCE2 CP;26,63;3.335.200,00;88,23%
2020-01-01;ANTIOQUIA;QUEBRADONA;0,55;100.400,00;167,33%
2020-01-01;ANTIOQUIA;SAN CARLOS;34,19;4.375.700,00;190,25%
2020-01-01;ANTIOQUIA;SAN MIGUEL;40,94;1.179.100,00;81,32%
2020-01-01;ANTIOQUIA;TENCHE;2,88;806.000,00;107,47%
2020-01-01;CARIBE;SINU URRA;257,68;2.904.800,00;153,69%
2020-01-01;CENTRO;AMOYA;20,40;2.380.100,00;153,55%
2020-01-01;CENTRO;BETANIA CP;261,72;3.712.200,00;185,61%
2020-01-01;CENTRO;BOGOTA N.R.;22,28;8.772.000,00;247,10%
2020-01-01;CENTRO;CUCUANA;6,03;823.500,00;200,85%
2020-01-01;CENTRO;DESV. SAN MARCOS;2,17;296.300,00;197,53%
2020-01-01;CENTRO;EL QUIMBO;250,72;10.204.100,00;172,95%
2020-01-01;CENTRO;PRADO;80,68;926.100,00;171,50%
2020-01-01;CENTRO;SOGAMOSO;245,12;7.278.300,00;122,32%
2020-01-01;ORIENTE;BATA;13,18;2.174.300,00;83,95%
2020-01-01;ORIENTE;BLANCO;0,00;;
2020-01-01;ORIENTE;CHUZA;1,80;708.700,00;64,43%
2020-01-01;ORIENTE;GUAVIO;15,10;3.547.600,00;83,47%
2020-01-01;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;3.648.100,00;137,15%
2020-01-01;VALLE;ALTOANCHICAYA;125,44;12.582.000,00;295,35%
