Fecha;Region Hidrologica;Nombre Río;Aportes Caudal m3/s;Aportes Energía kWh;Aportes %
2005-01-01;ANTIOQUIA;A. SAN LORENZO;18,24;3.985.900,00;74,50%
2005-01-01;ANTIOQUIA;CONCEPCION;5,09;1.146.100,00;103,25%
2005-01-01;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);9,46;2.130.200,00;123,13%
2005-01-01;ANTIOQUIA;GRANDE;19,34;4.716.800,00;82,46%
2005-01-01;ANTIOQUIA;GUADALUPE;10,66;2.400.400,00;75,96%
2005-01-01;ANTIOQUIA;GUATAPE;14,31;2.313.600,00;61,21%
2005-01-01;ANTIOQUIA;MIEL I;67,78;2.967.500,00;86,52%
2005-01-01;ANTIOQUIA;NARE;35,89;12.437.500,00;100,95%
2005-01-01;ANTIOQUIA;PORCE II;69,84;3.453.600,00;129,83%
2005-01-01;ANTIOQUIA;SAN CARLOS;13,96;1.681.700,00;76,44%
2005-01-01;ANTIOQUIA;TENCHE;2,34;526.900,00;86,38%
2005-01-01;CARIBE;SINU URRA;148,36;1.647.900,00;85,38%
2005-01-01;CENTRO;BOGOTA N.R.;18,50;8.034.800,00;213,12%
2005-01-01;CENTRO;MAGDALENA BETANIA;248,74;3.694.100,00;88,16%
2005-01-01;CENTRO;PRADO;44,84;481.000,00;92,50%
2005-01-01;ORIENTE;BATA;18,99;3.122.600,00;121,50%
2005-01-01;ORIENTE;CHUZA;0,72;312.700,00;23,34%
2005-01-01;ORIENTE;GUAVIO;14,79;3.550.500,00;79,43%
2005-01-01;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;3.042.900,00;93,06%
2005-01-01;VALLE;ALTOANCHICAYA;24,17;2.556.200,00;58,90%
2005-01-01;VALLE;CALIMA;8,68;404.700,00;79,35%
2005-01-01;VALLE;CAUCA SALVAJINA;145,81;3.230.300,00;88,02%
2005-01-01;VALLE;DIGUA;21,12;328.800,00;80,20%
2005-01-01;VALLE;FLORIDA II;7,20;144.000,00;110,77%
2005-01-02;ANTIOQUIA;A. SAN LORENZO;17,74;3.876.600,00;72,46%
2005-01-02;ANTIOQUIA;CONCEPCION;5,07;1.141.600,00;102,85%
2005-01-02;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);9,41;2.118.900,00;122,48%
2005-01-02;ANTIOQUIA;GRANDE;19,25;4.694.800,00;82,08%
