Fecha;Region Hidrologica;Nombre Río;Aportes Caudal m3/s;Aportes Energía kWh;Aportes %
2012-01-01;ANTIOQUIA;A. SAN LORENZO;31,50;7.288.000,00;130,14%
2012-01-01;ANTIOQUIA;CONCEPCION;5,18;1.633.400,00;100,83%
2012-01-01;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);0,59;186.000,00;7,35%
2012-01-01;ANTIOQUIA;GRANDE;26,94;8.273.100,00;115,55%
2012-01-01;ANTIOQUIA;GUADALUPE;17,26;5.441.700,00;123,96%
2012-01-01;ANTIOQUIA;GUATAPE;41,15;6.985.400,00;172,05%
2012-01-01;ANTIOQUIA;MIEL I;206,40;9.424.500,00;246,71%
2012-01-01;ANTIOQUIA;NARE;46,16;16.375.200,00;128,74%
2012-01-01;ANTIOQUIA;PORCE II;86,10;10.459.100,00;156,11%
2012-01-01;ANTIOQUIA;PORCE III;9,03;666.500,00;44,43%
2012-01-01;ANTIOQUIA;SAN CARLOS;16,70;2.197.800,00;93,92%
2012-01-01;ANTIOQUIA;TENCHE;3,84;1.209.300,00;142,27%
2012-01-01;CARIBE;SINU URRA;232,51;2.638.900,00;137,44%
2012-01-01;CENTRO;BOGOTA N.R.;19,39;8.441.800,00;247,56%
2012-01-01;CENTRO;MAGDALENA BETANIA;289,68;4.361.900,00;102,39%
2012-01-01;CENTRO;PRADO;28,67;342.700,00;62,31%
2012-01-01;ORIENTE;BATA;26,07;4.375.100,00;166,35%
2012-01-01;ORIENTE;CHUZA;0,97;422.300,00;37,04%
2012-01-01;ORIENTE;GUAVIO;17,85;4.167.500,00;98,06%
2012-01-01;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;4.264.800,00;125,07%
2012-01-01;VALLE;ALTOANCHICAYA;37,53;3.830.000,00;88,45%
2012-01-01;VALLE;CALIMA;19,00;874.300,00;171,43%
2012-01-01;VALLE;CAUCA SALVAJINA;149,93;3.663.100,00;90,90%
2012-01-01;VALLE;DIGUA;16,46;276.700,00;62,89%
2012-01-01;VALLE;FLORIDA II;12,18;243.600,00;187,38%
2012-01-02;ANTIOQUIA;A. SAN LORENZO;30,78;7.121.200,00;127,16%
2012-01-02;ANTIOQUIA;CONCEPCION;5,67;1.788.600,00;110,41%
2012-01-02;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);0,51;160.800,00;6,36%
2012-01-02;ANTIOQUIA;GRANDE;29,92;9.187.000,00;128,31%
2012-01-02;ANTIOQUIA;GUADALUPE;16,94;5.341.800,00;121,68%
2012-01-02;ANTIOQUIA;GUATAPE;36,63;6.217.000,00;153,13%
2012-01-02;ANTIOQUIA;MIEL I;161,15;7.358.400,00;192,63%
2012-01-02;ANTIOQUIA;NARE;43,82;15.547.900,00;122,23%
