Fecha;Region Hidrologica;Nombre Río;Aportes Caudal m3/s;Aportes Energía kWh;Aportes %
2004-01-01;ANTIOQUIA;A. SAN LORENZO;17,56;3.910.000,00;72,27%
2004-01-01;ANTIOQUIA;CONCEPCION;6,15;1.385.300,00;123,69%
2004-01-01;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);11,43;2.574.700,00;147,13%
2004-01-01;ANTIOQUIA;GRANDE;18,65;4.563.500,00;79,23%
2004-01-01;ANTIOQUIA;GUADALUPE;11,28;2.540.900,00;80,15%
2004-01-01;ANTIOQUIA;GUATAPE;32,71;5.405.100,00;141,49%
2004-01-01;ANTIOQUIA;MIEL I;50,63;2.214.100,00;63,99%
2004-01-01;ANTIOQUIA;NARE;20,16;7.057.000,00;56,73%
2004-01-01;ANTIOQUIA;PORCE II;64,61;3.242.100,00;120,97%
2004-01-01;ANTIOQUIA;SAN CARLOS;12,80;1.588.700,00;70,92%
2004-01-01;ANTIOQUIA;TENCHE;1,81;407.700,00;66,84%
2004-01-01;CARIBE;SINU URRA;152,23;1.694.100,00;86,88%
2004-01-01;CENTRO;BOGOTA N.R.;9,56;4.152.000,00;109,55%
2004-01-01;CENTRO;MAGDALENA BETANIA;194,95;2.906.000,00;68,54%
2004-01-01;CENTRO;PRADO;3,84;42.100,00;8,10%
2004-01-01;ORIENTE;BATA;18,31;3.013.500,00;116,35%
2004-01-01;ORIENTE;CHUZA;1,96;851.300,00;62,14%
2004-01-01;ORIENTE;GUAVIO;17,62;4.231.400,00;93,62%
2004-01-01;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;2.755.400,00;83,24%
2004-01-01;VALLE;ALTOANCHICAYA;29,75;3.164.200,00;72,41%
2004-01-01;VALLE;CALIMA;13,89;647.800,00;124,58%
2004-01-01;VALLE;CAUCA SALVAJINA;122,69;2.724.000,00;73,42%
2004-01-01;VALLE;DIGUA;22,45;350.800,00;85,56%
2004-01-01;VALLE;FLORIDA II;13,51;270.200,00;207,85%
2004-01-02;ANTIOQUIA;A. SAN LORENZO;17,18;3.825.300,00;70,71%
2004-01-02;ANTIOQUIA;CONCEPCION;6,13;1.380.800,00;123,29%
2004-01-02;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);11,39;2.565.700,00;146,61%
2004-01-02;ANTIOQUIA;GRANDE;17,73;4.338.400,00;75,32%
2004-01-02;ANTIOQUIA;GUADALUPE;20,30;4.572.800,00;144,25%
2004-01-02;ANTIOQUIA;GUATAPE;18,00;2.974.400,00;77,86%
2004-01-02;ANTIOQUIA;MIEL I;70,57;3.086.100,00;89,19%
2004-01-02;ANTIOQUIA;NARE;17,93;6.276.300,00;50,45%
2004-01-02;ANTIOQUIA;PORCE II;64,20;3.221.500,00;120,21%
2004-01-02;ANTIOQUIA;SAN CARLOS;11,84;1.469.500,00;65,60%
2004-01-02;ANTIOQUIA;TENCHE;3,52;792.900,00;129,98%
2004-01-02;CARIBE;SINU URRA;131,75;1.466.200,00;75,19%
2004-01-02;CENTRO;BOGOTA N.R.;12,00;5.211.800,00;137,51%
2004-01-02;CENTRO;MAGDALENA BETANIA;190,00;2.832.200,00;66,80%
2004-01-02;CENTRO;PRADO;11,57;126.900,00;24,40%
2004-01-02;ORIENTE;BATA;18,26;3.005.200,00;116,03%
2004-01-02;ORIENTE;CHUZA;1,48;642.800,00;46,92%
2004-01-02;ORIENTE;GUAVIO;18,19;4.368.300,00;96,64%
2004-01-02;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;2.773.600,00;83,79%
2004-01-02;VALLE;ALTOANCHICAYA;38,51;4.096.000,00;93,73%
2004-01-02;VALLE;CALIMA;6,95;324.100,00;62,33%
2004-01-02;VALLE;CAUCA SALVAJINA;93,03;2.065.500,00;55,67%
2004-01-02;VALLE;DIGUA;26,49;413.900,00;100,95%
2004-01-02;VALLE;FLORIDA II;13,51;270.200,00;207,85%
2004-01-03;ANTIOQUIA;A. SAN LORENZO;17,00;3.785.300,00;69,97%
2004-01-03;ANTIOQUIA;CONCEPCION;6,17;1.389.800,00;124,09%
2004-01-03;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);11,46;2.581.500,00;147,51%
2004-01-03;ANTIOQUIA;GRANDE;17,48;4.277.200,00;74,26%
2004-01-03;ANTIOQUIA;GUADALUPE;6,10;1.374.100,00;43,35%
2004-01-03;ANTIOQUIA;GUATAPE;12,87;2.126.700,00;55,67%
2004-01-03;ANTIOQUIA;MIEL I;46,76;2.044.800,00;59,10%
2004-01-03;ANTIOQUIA;NARE;20,89;7.312.500,00;58,78%
2004-01-03;ANTIOQUIA;PORCE II;65,74;3.298.800,00;123,09%
2004-01-03;ANTIOQUIA;SAN CARLOS;11,02;1.367.700,00;61,06%
2004-01-03;ANTIOQUIA;TENCHE;2,70;608.200,00;99,70%
2004-01-03;CARIBE;SINU URRA;131,86;1.467.400,00;75,25%
2004-01-03;CENTRO;BOGOTA N.R.;0,00;;
2004-01-03;CENTRO;MAGDALENA BETANIA;154,09;2.296.900,00;54,17%
2004-01-03;CENTRO;PRADO;36,00;394.800,00;75,92%
2004-01-03;ORIENTE;BATA;17,71;2.914.700,00;112,54%
2004-01-03;ORIENTE;CHUZA;5,67;2.462.600,00;179,75%
2004-01-03;ORIENTE;GUAVIO;17,08;4.101.700,00;90,75%
2004-01-03;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;2.363.600,00;71,41%
2004-01-03;VALLE;ALTOANCHICAYA;33,02;3.512.000,00;80,37%
2004-01-03;VALLE;CALIMA;10,42;486.000,00;93,46%
2004-01-03;VALLE;CAUCA SALVAJINA;94,58;2.099.900,00;56,60%
2004-01-03;VALLE;DIGUA;24,60;384.400,00;93,76%
2004-01-03;VALLE;FLORIDA II;13,51;270.200,00;207,85%
2004-01-04;ANTIOQUIA;A. SAN LORENZO;17,01;3.787.500,00;70,01%
2004-01-04;ANTIOQUIA;CONCEPCION;6,13;1.380.800,00;123,29%
2004-01-04;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);11,39;2.565.700,00;146,61%
2004-01-04;ANTIOQUIA;GRANDE;17,39;4.255.200,00;73,88%
2004-01-04;ANTIOQUIA;GUADALUPE;4,22;950.600,00;29,99%
2004-01-04;ANTIOQUIA;GUATAPE;26,30;4.345.900,00;113,77%
2004-01-04;ANTIOQUIA;MIEL I;62,64;2.739.300,00;79,17%
2004-01-04;ANTIOQUIA;NARE;20,28;7.099.000,00;57,07%
2004-01-04;ANTIOQUIA;PORCE II;54,99;2.759.400,00;102,96%
