Fecha;Region Hidrologica;Nombre Río;Aportes Caudal m3/s;Aportes Energía kWh;Aportes %
2003-01-01;ANTIOQUIA;A. SAN LORENZO;12,16;2.728.100,00;49,87%
2003-01-01;ANTIOQUIA;CONCEPCION;3,44;775.300,00;69,22%
2003-01-01;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);6,40;1.442.400,00;82,90%
2003-01-01;ANTIOQUIA;GRANDE;17,34;4.242.800,00;73,53%
2003-01-01;ANTIOQUIA;GUADALUPE;6,84;1.541.600,00;48,63%
2003-01-01;ANTIOQUIA;GUATAPE;7,79;1.301.100,00;33,79%
2003-01-01;ANTIOQUIA;MIEL I;63,94;2.798.000,00;81,34%
2003-01-01;ANTIOQUIA;NARE;13,96;4.927.400,00;39,11%
2003-01-01;ANTIOQUIA;PORCE II;45,21;2.268.900,00;84,66%
2003-01-01;ANTIOQUIA;SAN CARLOS;7,26;913.000,00;39,70%
2003-01-01;ANTIOQUIA;TENCHE;1,27;286.200,00;46,16%
2003-01-01;CARIBE;SINU URRA;227,49;2.393.000,00;129,35%
2003-01-01;CENTRO;BOGOTA N.R.;6,90;2.685.600,00;78,53%
2003-01-01;CENTRO;MAGDALENA BETANIA;159,19;2.373.300,00;55,58%
2003-01-01;CENTRO;PRADO;44,41;483.000,00;91,13%
2003-01-01;ORIENTE;BATA;9,94;1.635.900,00;62,68%
2003-01-01;ORIENTE;CHUZA;0,82;319.200,00;25,95%
2003-01-01;ORIENTE;GUAVIO;12,06;2.893.400,00;64,01%
2003-01-01;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;2.038.100,00;61,57%
2003-01-01;VALLE;ALTOANCHICAYA;44,76;4.778.600,00;107,87%
2003-01-01;VALLE;CALIMA;7,52;348.800,00;67,08%
2003-01-01;VALLE;CAUCA SALVAJINA;79,76;1.770.900,00;47,60%
2003-01-01;VALLE;DIGUA;27,32;426.900,00;104,12%
2003-01-01;VALLE;FLORIDA II;7,20;144.000,00;102,86%
2003-01-02;ANTIOQUIA;A. SAN LORENZO;11,88;2.665.300,00;48,73%
2003-01-02;ANTIOQUIA;CONCEPCION;3,24;730.200,00;65,20%
2003-01-02;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);6,02;1.356.800,00;77,98%
2003-01-02;ANTIOQUIA;GRANDE;15,43;3.775.500,00;65,43%
2003-01-02;ANTIOQUIA;GUADALUPE;8,98;2.023.900,00;63,85%
