Fecha;Region Hidrologica;Nombre Río;Aportes Caudal m3/s;Aportes Energía kWh;Aportes %
2006-01-01;ANTIOQUIA;A. SAN LORENZO;16,19;3.420.000,00;67,72%
2006-01-01;ANTIOQUIA;CONCEPCION;10,15;2.281.200,00;205,51%
2006-01-01;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);7,41;1.665.800,00;96,29%
2006-01-01;ANTIOQUIA;GRANDE;19,06;4.645.700,00;81,65%
2006-01-01;ANTIOQUIA;GUADALUPE;10,15;2.281.200,00;72,42%
2006-01-01;ANTIOQUIA;GUATAPE;15,39;2.397.000,00;67,14%
2006-01-01;ANTIOQUIA;MIEL I;88,88;3.438.600,00;113,49%
2006-01-01;ANTIOQUIA;NARE;22,21;7.579.600,00;63,01%
2006-01-01;ANTIOQUIA;PORCE II;62,41;3.087.000,00;117,38%
2006-01-01;ANTIOQUIA;SAN CARLOS;13,71;1.574.700,00;77,19%
2006-01-01;ANTIOQUIA;TENCHE;1,39;311.600,00;51,08%
2006-01-01;CARIBE;SINU URRA;126,03;1.391.700,00;73,25%
2006-01-01;CENTRO;BOGOTA N.R.;2,21;959.800,00;25,59%
2006-01-01;CENTRO;MAGDALENA BETANIA;232,26;3.460.500,00;82,79%
2006-01-01;CENTRO;PRADO;7,80;89.000,00;16,48%
2006-01-01;ORIENTE;BATA;12,10;1.989.500,00;77,41%
2006-01-01;ORIENTE;CHUZA;0,10;43.400,00;3,29%
2006-01-01;ORIENTE;GUAVIO;12,29;2.949.900,00;66,29%
2006-01-01;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;2.594.900,00;76,77%
2006-01-01;VALLE;ALTOANCHICAYA;27,59;2.897.100,00;66,91%
2006-01-01;VALLE;CALIMA;13,89;638.300,00;125,16%
2006-01-01;VALLE;CAUCA SALVAJINA;233,45;5.025.200,00;141,16%
2006-01-01;VALLE;DIGUA;15,90;247.500,00;60,37%
2006-01-01;VALLE;FLORIDA II;10,77;215.400,00;165,69%
2006-01-02;ANTIOQUIA;A. SAN LORENZO;15,91;3.360.800,00;66,55%
2006-01-02;ANTIOQUIA;CONCEPCION;4,21;945.300,00;85,16%
2006-01-02;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);7,39;1.661.100,00;96,02%
2006-01-02;ANTIOQUIA;GRANDE;19,89;4.847.300,00;85,19%
2006-01-02;ANTIOQUIA;GUADALUPE;12,16;2.732.600,00;86,75%
