Fecha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2010-11-01,120.12,119.77,119.77,119.77,119.77,119.77,118.11,119.77,120.12,120.12,120.12,120.12,120.12,120.12,120.12,120.12,120.12,123.02,147.02,147.02,125.02,123.02,120.12,120.12
2010-11-02,103.95,103.95,103.95,103.95,103.95,115.95,115.95,115.95,117.95,117.95,123.4,123.4,123.4,119.48,123.4,123.4,123.4,140.95,140.95,140.95,140.95,123.4,117.95,115.95
2010-11-03,104.34,104.34,104.34,104.34,106.34,106.34,113.84,113.84,116.34,116.34,123.93,123.93,123.93,123.93,123.93,116.34,116.34,123.93,134.24,134.24,134.24,116.34,116.34,106.34
2010-11-04,97.22,97.22,95.22,97.22,97.22,98.22,103.22,103.22,103.22,115.53,125.97,125.97,125.97,125.97,125.97,125.97,125.97,128.22,153.22,153.22,128.22,125.97,103.22,98.22
2010-11-05,99.07,98.07,98.07,98.07,99.07,100.07,100.07,100.07,104.07,116.37,125.87,125.87,125.87,124.18,125.87,125.87,125.87,125.87,126.82,126.82,125.87,125.87,104.07,100.07
2010-11-06,94.03,94.03,94.03,94.03,94.03,98.03,98.03,119.03,119.03,125.83,125.83,125.83,125.83,125.83,125.83,124.15,119.03,125.83,141.79,125.83,125.83,119.03,98.03,98.03
2010-11-07,112.31,112.31,112.31,96.31,96.31,112.31,96.31,112.31,112.31,112.31,112.31,112.31,117.31,117.31,112.31,112.31,112.31,117.31,124.11,124.11,124.11,124.11,112.31,112.31
2010-11-08,83.48,78.48,78.48,78.48,83.48,93.58,97.48,97.48,104.28,115.48,115.48,125.28,120.33,120.33,123.59,123.59,125.28,125.28,306.24,134.68,125.28,125.28,104.28,93.58
2010-11-09,83.63,83.63,79.63,83.63,84.63,98.63,98.63,98.63,102.7,116.63,121.48,124.63,121.48,121.48,124.63,124.63,124.63,124.63,307.38,129.63,124.63,124.63,102.7,98.63
2010-11-10,98.53,98.53,98.53,98.53,98.53,109.53,109.53,109.53,110.03,110.03,123.53,123.53,110.03,110.03,110.03,110.03,110.03,123.53,131.85,131.85,123.53,123.53,109.53,109.53
2010-11-11,96.57,79.57,79.57,79.57,79.57,98.57,105.57,116.57,116.57,116.57,116.57,116.57,116.57,116.57,116.57,127.27,127.27,127.27,131.91,127.27,127.27,127.27,116.57,98.57
2010-11-12,76.15,76.15,76.15,76.15,94.15,97.15,97.15,97.15,98.15,98.15,98.15,118.15,118.15,118.15,118.15,118.15,118.15,118.15,305.91,173.14,118.15,118.15,98.15,94.15
2010-11-13,74.38,74.38,74.38,74.38,74.38,87.38,87.38,91.38,102.48,102.48,102.48,114.38,114.38,102.48,102.48,102.48,102.48,114.38,114.38,114.38,114.38,102.48,102.48,91.38
2010-11-14,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,84.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,112.5,112.5,112.5,112.5,112.5,89.5,84.5
