Fecha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2010-09-01,99.88,99.88,99.88,99.88,99.88,99.88,132.88,132.88,136.48,135.88,136.48,149.38,135.88,135.88,141.88,141.88,141.88,135.88,171.88,171.88,141.88,135.88,99.88,92.38
2010-09-02,97.54,97.54,97.54,97.54,99.79,101.64,101.64,101.64,127.54,127.54,137.54,137.54,127.54,127.54,130.1,136.54,130.1,127.54,137.54,137.54,137.54,137.54,101.64,101.64
2010-09-03,96.34,96.34,96.34,96.34,96.34,100.34,100.34,101.44,101.44,101.44,101.44,101.44,101.44,101.44,101.44,101.44,101.44,101.44,107.34,132.34,107.34,107.34,101.44,100.34
2010-09-04,95.76,95.76,95.76,95.76,95.76,95.76,95.76,99.26,99.26,99.26,99.26,99.26,99.26,99.26,99.26,99.26,99.26,99.26,99.76,126.76,99.76,99.26,99.26,95.76
2010-09-05,99.09,94.19,94.19,94.19,94.19,94.19,94.19,94.19,99.09,99.09,99.09,99.09,99.09,99.09,99.09,99.09,99.09,99.09,103.09,103.09,103.09,100.09,99.09,99.09
2010-09-06,93.12,93.12,93.12,93.12,93.12,100.72,100.72,100.72,101.22,101.22,106.02,106.02,106.02,106.02,106.02,106.02,106.02,106.02,243.22,243.22,123.22,106.02,100.72,100.72
2010-09-07,99.31,99.31,99.31,99.31,99.31,99.32,99.32,99.32,99.32,99.82,99.82,99.82,99.82,99.82,99.82,99.82,101.82,101.82,104.82,104.82,104.82,101.82,99.32,99.31
2010-09-08,97.62,90.86,90.72,90.72,97.62,97.72,97.72,97.72,98.72,98.72,98.72,98.82,98.72,98.72,98.72,98.72,98.82,98.82,98.82,98.82,98.82,98.72,97.72,97.72
2010-09-09,81.64,81.64,81.64,81.64,87.64,90.74,90.74,99.64,99.64,105.64,105.64,105.64,105.64,105.64,105.64,105.64,105.64,105.64,138.14,242.64,105.64,105.64,99.64,90.74
2010-09-10,89.94,89.94,89.94,89.94,89.94,89.94,90.74,90.74,90.74,90.74,90.74,95.74,90.74,90.74,95.74,95.74,95.74,95.74,98.74,115.74,98.74,95.74,90.74,89.94
2010-09-11,90.95,90.95,90.95,90.95,90.95,90.95,90.95,91.71,91.71,91.71,92.41,92.41,92.41,92.41,91.71,91.71,91.71,91.71,92.41,96.91,92.41,92.41,91.71,90.95
2010-09-12,90.69,90.69,90.69,90.69,90.69,90.69,90.69,90.69,90.69,90.69,91.89,91.89,91.89,91.89,91.89,91.89,91.89,91.89,95.89,96.89,95.89,91.89,91.89,90.69
2010-09-13,82.51,82.51,82.51,82.51,82.51,86.51,86.51,86.51,86.51,86.51,92.51,92.51,92.51,92.51,92.51,92.51,92.51,92.51,131.51,146.51,101.51,92.51,86.51,86.51
2010-09-14,64.71,64.71,64.71,71.71,80.71,85.71,85.71,85.71,101.71,101.71,101.71,101.71,101.71,101.71,101.71,101.71,101.71,101.71,111.71,146.71,111.71,101.71,85.71,81.71
2010-09-15,79.39,79.39,79.39,79.39,79.39,80.39,80.39,79.39,112.39,112.39,112.39,112.39,112.39,112.39,112.39,112.39,112.39,112.39,151.39,151.39,151.39,112.39,106.39,79.39
2010-09-16,79.52,79.52,79.52,79.52,79.52,91.05,91.05,99.52,110.52,116.02,116.02,116.02,116.02,116.02,116.02,116.02,116.02,116.02,130.52,130.52,116.02,116.02,99.52,79.52
2010-09-17,80.02,80.02,80.02,80.02,80.02,100.02,100.02,108.02,108.02,116.97,116.97,116.97,116.97,116.97,116.97,116.97,116.97,116.97,152.02,152.02,116.97,116.97,108.02,87.57
2010-09-18,91.37,88.37,88.37,88.37,88.37,91.37,91.37,91.37,99.37,99.37,130.37,130.37,130.37,130.37,99.37,99.37,99.37,99.37,130.37,147.37,130.37,130.37,99.37,91.37
2010-09-19,79.38,79.38,79.38,79.38,79.38,79.38,79.38,99.38,99.38,116.38,116.38,116.38,116.38,99.38,88.38,88.38,92.38,92.38,121.38,121.38,121.38,99.38,79.38,79.38
2010-09-20,97.82,97.82,97.82,97.82,97.82,99.82,99.92,99.92,104.62,116.82,130.82,130.82,130.82,130.82,130.82,130.82,130.82,130.82,147.82,151.82,130.82,130.82,100.32,99.82
2010-09-21,99.86,99.86,99.81,99.81,99.86,101.81,101.81,101.81,106.81,106.81,106.81,107.55,106.81,106.81,106.81,106.81,106.81,106.81,151.81,151.81,146.81,106.81,101.81,99.86
2010-09-22,99.86,101.71,99.86,99.86,99.86,101.71,101.71,134.31,134.31,134.31,134.31,136.01,134.31,134.31,134.31,134.31,134.31,143.57,151.81,152.81,151.81,146.81,134.31,101.71
2010-09-23,102.23,102.23,102.23,102.23,102.23,105.33,105.33,135.33,143.81,147.33,147.33,147.33,147.33,147.33,157.33,157.33,157.33,157.33,162.33,162.33,157.33,157.33,127.33,105.33
2010-09-24,104.92,104.92,104.92,104.92,104.92,119.24,134.92,134.92,155.92,155.92,161.92,161.92,161.92,161.92,161.92,161.92,161.92,161.92,173.42,173.42,161.92,158.92,130.92,104.92
2010-09-25,93.3,93.3,93.3,93.3,93.3,105.3,105.3,112.3,112.3,126.19,133.3,133.3,160.3,126.19,126.19,126.19,105.3,126.19,174.8,174.8,160.3,160.3,112.3,105.3
2010-09-26,105.09,105.09,105.09,105.09,105.09,105.09,105.09,105.09,105.09,106.09,106.09,106.09,113.09,106.09,106.09,106.09,106.09,106.09,139.09,155.09,139.09,122.87,106.09,105.09
2010-09-27,82.54,82.54,82.54,82.54,82.54,101.64,106.64,106.64,124.62,106.64,116.64,116.64,124.62,124.62,124.62,135.53,135.53,162.64,222.64,222.64,202.64,124.62,106.64,106.64
2010-09-28,102.06,102.06,87.06,87.06,102.06,107.06,107.06,117.33,128.06,128.06,128.06,202.06,128.06,149.06,149.06,149.06,149.06,161.08,244.56,244.56,223.06,128.06,117.33,107.06
2010-09-29,100.75,100.75,100.75,100.75,100.75,110.75,110.75,119.44,151.75,169.75,200.75,201.75,159.77,159.77,159.77,159.77,169.75,159.77,221.75,221.75,200.75,131.75,112.19,110.75
