Fecha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2020-10-01,103.5,134.5,97.49,97.49,103.5,124.5,134.5,134.5,139.5,139.5,194.5,194.5,194.5,194.5,194.5,194.5,194.5,149.48,194.5,194.5,194.5,139.5,134.5,134.5
2020-10-02,104.86,122.86,122.86,104.86,104.86,122.86,141.96,141.96,150.86,150.86,166.86,166.86,166.86,166.86,166.86,210.86,150.86,150.86,166.86,166.86,166.86,166.86,150.86,141.96
2020-10-03,87.11,87.11,87.11,87.11,87.11,87.11,87.11,131.5,161.5,161.5,166.5,196.5,196.5,166.5,166.5,161.5,161.5,161.5,196.5,161.5,161.5,161.5,131.5,106.5
2020-10-04,89.07,89.07,89.07,89.07,89.07,89.07,89.07,89.07,89.07,118.46,118.46,118.46,123.46,123.46,118.46,118.46,118.46,118.46,133.46,168.46,168.46,133.46,122.46,109.46
2020-10-05,83.56,117.95,117.95,117.95,117.95,132.95,132.95,132.95,132.95,149.95,172.95,172.95,172.95,172.95,172.95,172.95,172.95,149.95,172.95,172.95,172.95,149.95,132.95,132.95
2020-10-06,87.21,87.21,87.21,87.21,87.21,87.21,87.21,93.14,136.8,166.6,166.6,171.6,171.6,171.6,171.6,171.6,166.6,166.6,171.6,171.6,166.6,166.6,136.8,160.6
2020-10-07,88.37,88.37,116.76,116.76,116.76,158.74,142.76,173.76,173.76,173.76,173.76,173.76,187.76,173.76,173.76,173.76,173.76,173.76,173.76,173.76,173.76,173.76,173.76,172.76
2020-10-08,116.06,116.06,116.06,116.06,116.06,122.06,161.06,173.06,173.06,192.06,192.06,262.06,262.06,173.06,173.06,173.06,173.06,173.06,192.06,192.06,173.06,173.06,161.06,172.06
2020-10-09,86.49,86.49,86.49,86.49,86.49,86.49,86.49,156.86,180.88,190.88,199.78,260.88,260.88,190.88,190.88,190.88,180.88,156.86,190.88,190.88,190.88,180.88,185.88,180.88
2020-10-10,114.07,129.07,129.07,129.07,129.07,114.07,114.07,130.07,309.07,329.07,329.07,399.07,197.97,179.07,179.07,197.97,179.07,130.07,179.07,179.07,179.07,130.07,130.07,130.07
2020-10-11,167.09,167.09,167.09,167.09,167.09,112.09,112.09,112.09,167.09,167.09,169.09,195.99,195.99,169.09,167.09,167.09,167.09,153.07,167.09,167.09,167.09,167.09,167.09,167.09
2020-10-12,195.78,171.88,171.88,171.88,156.88,156.88,152.86,171.88,201.88,201.88,201.88,206.88,206.88,206.88,206.88,206.88,201.88,200.88,206.88,206.88,206.88,201.88,200.88,195.78
2020-10-13,163.0,163.0,163.0,163.0,163.0,163.0,188.0,198.0,198.5,229.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,258.0,258.0,230.0,198.5,198.0,188.0
2020-10-14,148.53,148.53,148.53,148.53,148.53,154.51,163.53,193.53,193.53,197.43,197.53,222.53,222.53,197.53,222.53,222.53,222.53,197.53,229.53,229.53,197.53,197.53,193.53,193.53
2020-10-15,184.11,184.11,184.11,184.11,184.11,184.81,184.81,184.81,191.11,196.11,196.01,196.11,196.11,196.01,196.11,196.11,196.01,193.61,196.11,196.11,196.11,196.11,196.01,193.61
2020-10-16,184.42,192.42,148.42,148.42,148.42,154.4,184.42,192.42,192.42,194.92,197.42,197.42,197.32,197.32,197.32,197.32,194.92,194.92,197.42,197.42,197.42,197.42,192.42,192.42
