Fecha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2016-04-01,800.42,800.42,800.42,796.42,800.42,800.42,800.42,800.42,803.42,807.5,807.5,807.5,807.5,807.5,807.5,807.5,807.5,807.5,807.5,807.5,807.5,804.42,801.42,800.42
2016-04-02,701.42,701.42,658.89,658.89,658.89,701.42,701.42,701.42,756.42,776.42,776.42,800.42,800.42,800.42,776.42,796.92,756.42,701.42,800.42,802.42,776.42,756.42,701.42,701.42
2016-04-03,692.14,467.14,467.14,467.14,361.19,299.6,298.99,299.6,467.14,692.14,692.14,692.14,707.14,697.14,692.14,692.14,692.14,707.14,702.14,707.14,707.14,707.14,702.14,692.14
2016-04-04,661.42,665.42,666.42,661.42,661.42,666.42,666.42,686.41,693.2,693.2,693.2,693.2,693.2,693.2,693.2,693.2,693.2,693.2,693.2,701.42,693.2,693.2,666.42,665.42
2016-04-05,596.41,396.51,596.41,396.51,396.51,646.29,646.29,646.29,646.29,661.51,666.51,666.51,666.51,666.51,671.51,666.51,666.51,666.51,671.51,691.51,671.51,666.51,646.29,646.29
2016-04-06,458.67,396.67,396.67,457.67,457.67,616.05,616.05,616.05,616.05,616.05,646.67,659.66,646.67,646.67,659.66,659.66,646.67,646.67,666.67,666.67,666.67,646.67,616.05,459.67
2016-04-07,541.42,466.42,466.42,466.42,466.42,541.42,541.42,541.42,595.9,595.9,595.9,595.9,595.9,595.9,596.42,595.9,596.42,595.9,595.9,596.42,595.9,595.9,595.9,541.42
2016-04-08,427.99,427.99,427.99,427.99,427.99,445.42,445.42,446.42,537.42,516.42,516.42,516.42,516.42,516.42,516.42,516.42,516.42,537.42,516.42,516.42,516.42,496.42,495.42,446.42
2016-04-09,416.52,406.72,406.72,406.72,406.72,406.72,406.72,416.72,416.72,421.72,425.42,426.22,426.22,425.42,421.72,421.72,416.72,416.72,426.22,428.72,428.72,425.42,416.72,406.72
2016-04-10,371.52,371.52,371.52,346.52,346.52,346.52,298.98,360.57,371.52,371.52,371.52,371.52,371.52,371.52,371.52,371.52,371.52,371.52,392.52,392.52,392.52,392.52,371.52,371.52
