Fecha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2013-12-01,182.83,182.83,159.01,177.83,159.01,159.01,159.01,102.83,115.83,182.83,182.83,182.83,182.83,182.83,182.83,177.83,159.01,212.83,234.93,242.83,234.93,227.18,227.18,202.83
2013-12-02,196.77,196.77,184.77,184.77,196.77,196.77,196.77,200.17,200.17,200.17,200.17,222.77,200.17,222.77,226.89,226.89,222.77,222.77,226.89,226.89,226.89,222.77,200.17,196.77
2013-12-03,161.57,112.39,112.39,112.39,112.39,161.57,167.39,184.39,184.39,191.59,191.59,191.59,191.59,191.59,191.59,191.59,191.59,191.59,191.59,191.59,191.59,191.59,167.39,161.57
2013-12-04,159.3,148.67,139.33,139.33,159.3,159.3,166.96,166.96,176.35,176.35,176.35,176.35,176.35,176.35,176.35,176.35,176.35,176.35,177.65,177.65,177.65,176.35,167.28,166.96
2013-12-05,122.63,122.63,115.58,115.58,122.63,122.63,122.63,122.63,162.1,165.53,165.53,165.53,165.53,165.53,165.53,165.53,165.53,165.53,192.48,192.48,186.58,165.53,162.1,147.58
2013-12-06,147.03,144.03,139.51,116.03,139.51,144.03,156.77,161.83,161.83,161.83,164.88,182.13,164.88,164.88,164.88,164.88,161.83,164.88,182.13,182.13,182.13,161.83,161.83,156.77
2013-12-07,161.97,161.97,161.97,158.35,161.97,161.97,161.97,184.97,184.97,184.97,184.97,191.92,191.92,184.97,184.97,184.97,184.97,184.97,191.92,191.92,191.92,184.97,184.97,171.97
2013-12-08,169.55,160.4,143.17,143.17,127.17,126.17,47.15,143.17,169.55,169.55,193.17,212.17,212.17,193.17,193.17,169.55,169.55,193.17,212.17,212.17,212.17,212.17,212.17,169.55
2013-12-09,161.52,161.52,157.99,157.99,157.99,161.52,171.52,181.52,202.52,202.52,202.52,208.52,202.52,202.52,202.52,202.52,202.52,202.52,211.62,211.62,211.62,202.52,202.52,171.52
2013-12-10,163.69,163.69,161.16,161.16,161.16,163.69,163.69,166.81,183.69,193.69,193.69,202.59,193.69,193.69,193.69,193.69,193.69,193.69,202.59,202.59,202.59,193.69,166.81,166.81
2013-12-11,154.29,154.29,154.29,154.29,154.29,161.76,164.29,164.29,188.99,188.99,188.99,188.99,188.99,188.99,188.99,188.99,188.99,188.99,194.29,194.29,194.29,188.99,188.99,164.29
2013-12-12,153.97,152.45,139.97,139.97,139.97,153.97,153.97,153.97,153.97,173.45,173.45,184.87,184.87,184.87,184.87,184.87,184.87,184.87,195.97,195.97,184.87,184.87,164.2,153.97
