Fecha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2001-03-01,52.96,52.96,52.46,52.46,52.46,63.97,90.87,90.87,90.87,90.87,91.57,91.57,90.87,52.46,90.87,90.87,90.87,90.87,97.87,97.87,97.87,91.67,90.87,52.96
2001-03-02,53.46,53.46,53.46,53.46,56.87,91.57,91.67,91.67,97.87,97.87,97.87,97.87,91.67,91.67,91.67,91.67,91.67,91.67,97.87,98.87,97.87,97.87,91.57,63.97
2001-03-03,53.46,53.46,53.46,52.96,53.46,63.87,69.77,80.87,91.67,91.67,91.67,91.67,91.67,91.67,91.67,80.87,80.87,69.77,107.87,107.87,107.87,91.67,91.67,57.98
2001-03-04,55.87,53.46,53.46,53.46,53.46,53.46,53.46,53.46,57.98,69.77,69.77,69.77,69.77,69.77,63.97,63.87,55.87,55.87,91.67,107.87,107.87,91.67,69.77,53.46
2001-03-05,52.45,52.45,52.45,52.45,52.45,69.77,107.87,107.87,107.87,107.87,107.87,107.87,107.87,107.87,107.87,107.87,107.87,107.87,110.87,115.87,110.87,107.87,107.87,63.87
2001-03-06,57.98,53.46,53.46,53.46,53.46,87.87,87.87,87.87,87.87,87.87,87.87,87.87,87.87,87.87,87.87,87.87,87.87,87.87,107.87,107.87,107.87,97.87,87.87,69.77
2001-03-07,58.87,52.45,53.46,53.46,53.46,70.87,98.87,98.87,98.87,98.87,107.87,107.87,98.87,98.87,98.87,98.87,98.87,98.87,107.87,110.87,107.87,107.87,70.87,53.46
2001-03-08,53.97,53.97,53.97,53.97,53.97,95.87,95.87,95.87,95.87,95.87,95.87,95.87,95.87,95.87,95.87,95.87,95.87,95.87,107.87,107.87,107.87,107.87,95.87,57.98
2001-03-09,53.97,53.97,53.87,53.46,53.97,62.87,95.87,95.87,99.87,99.87,99.87,99.87,99.87,95.87,95.87,95.87,95.87,99.87,99.87,101.87,99.87,99.87,70.87,57.98
2001-03-10,57.98,53.97,53.87,53.87,53.97,58.87,61.2,62.87,70.87,95.87,95.87,95.87,95.87,70.87,70.87,62.87,62.87,70.87,99.87,99.87,99.87,99.86,70.87,58.87
2001-03-11,58.87,54.87,54.87,54.87,54.87,54.87,54.87,61.2,61.2,62.87,62.87,62.87,62.87,62.87,61.2,61.2,61.2,61.2,99.87,99.87,99.87,99.86,62.87,54.87
2001-03-12,52.45,52.45,52.45,52.45,52.45,53.97,95.87,70.87,95.87,95.87,99.87,99.87,95.87,95.87,95.87,95.87,95.87,99.87,99.87,101.87,101.87,99.87,70.87,52.45
2001-03-13,52.45,52.45,52.45,52.45,52.45,62.87,95.87,70.87,95.87,95.87,99.87,99.87,95.87,95.87,95.87,95.87,95.87,95.87,99.87,105.87,105.87,99.87,70.87,52.45
2001-03-14,47.86,52.96,47.86,47.86,47.86,62.87,95.87,95.87,95.87,95.87,95.87,95.87,95.87,95.87,95.87,95.87,95.87,95.87,96.87,99.87,96.87,96.87,70.87,52.96
2001-03-15,53.46,53.46,53.46,53.46,54.87,61.2,95.87,95.87,95.87,95.87,95.87,95.87,95.87,95.87,95.87,95.87,95.87,95.87,95.87,95.87,95.87,95.87,62.87,53.46
2001-03-16,52.96,52.96,50.87,50.87,50.87,61.2,88.87,88.87,90.87,90.87,90.87,90.87,90.87,88.87,90.87,90.87,90.87,90.87,99.87,99.87,99.87,90.87,61.2,52.96
2001-03-17,61.07,60.87,60.87,60.87,60.87,66.0,68.87,68.87,68.87,88.12,90.86,90.86,90.86,70.87,68.87,68.87,68.87,68.87,99.87,99.87,99.87,90.86,68.87,66.0
2001-03-18,58.87,58.87,48.87,48.87,48.87,58.87,58.87,58.87,58.87,58.87,58.87,58.87,60.87,58.87,58.87,58.87,58.87,58.87,60.97,80.86,61.07,60.87,58.87,58.87
2001-03-19,47.86,47.86,36.37,36.37,47.86,47.86,47.86,47.86,52.96,53.46,57.87,57.87,61.07,57.87,53.46,52.96,57.87,57.87,95.44,95.44,63.87,63.87,57.87,47.86
2001-03-20,50.77,50.77,50.77,50.77,50.77,58.87,60.87,58.87,60.87,60.97,61.07,70.87,60.87,60.87,60.87,60.87,60.87,76.12,92.87,94.87,92.87,76.12,57.87,50.77
2001-03-21,49.87,49.87,48.87,48.87,49.87,53.46,54.87,54.87,57.87,57.87,57.97,61.07,54.87,54.87,54.87,54.87,54.87,54.87,89.87,89.87,89.87,54.87,53.46,48.87
2001-03-22,47.86,47.86,47.86,47.86,48.87,49.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,50.87,57.87,70.87,54.87,50.87,49.87,47.86
2001-03-23,47.86,47.86,47.86,47.86,48.87,48.87,65.87,60.87,65.87,65.87,65.87,65.87,65.87,60.87,64.87,64.87,64.87,65.87,65.87,66.07,65.87,65.87,48.87,48.87
2001-03-24,48.87,48.87,48.87,48.87,48.87,48.87,48.87,56.12,65.97,65.97,65.97,70.87,70.87,60.87,56.12,48.87,48.87,56.12,78.87,78.87,78.87,70.87,56.12,48.87
2001-03-25,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,48.87,51.12,51.12,58.87,58.87,51.12,48.87,48.87,48.87,48.87,78.87,78.87,78.87,78.87,51.12,48.87
2001-03-26,48.37,48.37,48.37,48.37,48.87,48.87,52.87,56.12,58.87,58.87,58.87,75.87,58.87,58.87,58.87,58.87,58.87,58.87,75.87,76.87,75.87,75.87,58.87,48.87
2001-03-27,48.87,48.87,48.87,48.87,50.87,50.87,56.87,56.87,56.87,56.87,60.87,60.87,58.87,56.87,56.87,56.87,58.87,58.87,73.87,73.87,73.87,68.87,50.87,50.87
2001-03-28,50.87,48.87,48.87,48.87,50.87,50.87,59.12,59.12,60.87,60.87,60.87,60.87,60.87,59.12,59.12,59.12,59.12,60.87,80.87,82.87,80.87,60.87,50.87,50.87
2001-03-29,47.86,47.86,47.86,47.86,47.86,54.87,58.87,56.12,58.87,58.87,65.87,65.87,65.87,56.26,56.26,56.26,58.87,65.87,70.87,70.87,70.87,65.87,56.12,47.86
2001-03-30,50.87,50.87,50.87,50.87,50.87,50.87,54.87,54.87,56.26,56.26,57.12,57.12,54.87,56.26,56.26,56.26,56.26,56.26,70.87,75.76,70.87,57.12,50.87,50.87
2001-03-31,56.26,55.87,55.87,55.87,55.87,62.87,62.87,62.87,62.87,62.87,65.87,65.87,65.87,62.87,62.87,62.87,62.87,62.87,65.87,75.76,65.87,65.87,62.87,62.87
