Fecha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2001-10-01,36.75,36.75,36.75,36.75,37.35,39.3,39.3,39.3,39.3,39.3,44.35,44.35,44.35,39.3,39.3,39.3,39.3,44.35,47.35,47.35,46.35,44.35,39.3,39.3
2001-10-02,37.35,37.35,37.35,37.35,39.35,45.45,45.45,45.45,45.45,45.45,45.45,46.35,45.45,45.45,45.45,45.45,45.45,45.45,68.85,68.85,47.35,46.35,45.45,44.25
2001-10-03,39.5,39.5,39.5,39.5,39.5,39.5,40.85,40.85,44.35,44.35,45.35,46.25,44.35,44.35,44.35,44.35,44.35,45.35,47.35,81.04,68.85,47.35,44.35,40.85
2001-10-04,40.35,40.35,40.35,40.35,40.35,44.35,47.35,47.35,47.35,49.35,49.35,49.35,49.35,47.35,47.35,47.35,47.35,49.35,88.72,80.85,68.85,49.35,47.35,40.35
2001-10-05,37.35,37.35,37.35,37.35,37.35,47.25,47.35,47.35,51.94,47.35,51.94,51.94,51.94,51.94,51.94,51.94,51.94,51.94,68.85,68.85,54.35,51.94,47.35,47.25
2001-10-06,40.35,40.35,37.35,40.35,40.35,40.35,40.85,47.32,47.32,47.35,47.35,47.35,47.35,47.32,47.32,47.32,47.32,47.32,54.35,54.35,52.35,47.35,47.32,40.35
2001-10-07,47.35,38.85,38.85,38.85,38.85,38.85,38.85,47.35,47.35,47.35,47.35,47.35,49.35,47.35,47.35,47.35,47.35,49.35,54.25,54.25,54.25,49.64,49.35,47.35
2001-10-08,37.35,37.35,37.35,37.35,37.35,44.27,44.27,44.27,49.35,49.35,49.35,51.35,49.35,49.35,49.35,49.35,49.35,49.35,68.85,68.85,65.35,51.35,44.27,41.35
2001-10-09,38.35,38.35,38.35,38.35,38.35,40.27,47.35,47.35,48.91,47.35,48.91,48.91,47.35,47.35,47.35,47.35,47.35,47.35,65.34,65.34,48.91,47.35,40.27,38.35
2001-10-10,39.25,39.25,39.25,39.25,39.25,39.84,39.84,47.35,47.35,47.35,47.35,47.35,39.84,47.35,47.35,47.35,47.35,48.91,61.35,61.35,61.35,48.91,39.84,39.84
2001-10-11,38.35,38.35,38.35,38.35,43.45,43.45,46.35,46.35,46.35,47.35,47.35,47.55,47.35,46.35,46.35,46.35,46.35,47.35,63.13,63.13,55.35,47.35,43.45,43.45
2001-10-12,40.35,40.35,40.35,40.35,40.35,40.35,47.35,47.35,51.35,51.35,51.35,51.35,51.35,47.35,47.35,47.35,47.35,51.35,61.35,61.35,60.06,55.25,47.35,40.35
2001-10-13,47.35,39.35,39.35,39.35,39.35,47.35,47.35,52.35,52.35,52.35,52.35,52.35,52.35,52.35,50.06,50.06,50.06,52.35,55.25,55.25,55.25,52.35,50.06,47.35
