Fecha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2005-06-01,65.49,65.49,65.49,65.49,65.49,66.89,66.89,66.89,66.99,66.99,66.99,67.99,67.99,66.99,67.99,67.99,67.99,67.99,67.99,83.49,67.99,67.99,66.89,66.89
2005-06-02,64.49,62.49,62.49,62.49,64.49,66.9,66.9,66.9,66.9,66.94,66.94,66.94,66.94,66.94,66.94,66.94,66.94,66.9,66.94,83.49,66.94,66.94,66.9,66.49
2005-06-03,53.49,53.49,53.49,53.49,53.49,63.49,63.49,63.49,66.49,66.49,66.49,66.49,66.49,65.99,66.49,66.49,66.49,65.99,67.49,72.49,67.49,66.49,63.49,63.49
2005-06-04,47.49,47.49,47.49,47.49,47.49,47.49,51.49,51.49,51.49,53.49,53.49,53.49,53.49,53.49,51.49,51.49,51.49,51.49,72.49,73.49,72.49,53.49,51.49,51.49
2005-06-05,50.99,50.99,44.49,44.49,44.49,44.49,44.49,50.99,50.99,50.99,50.99,50.99,50.99,50.99,50.99,50.99,50.99,50.99,65.49,66.49,65.49,65.49,50.99,50.99
2005-06-06,42.39,42.39,42.39,42.39,42.39,42.39,42.39,42.39,51.49,51.49,51.49,51.49,51.49,51.49,51.49,51.49,51.49,51.49,64.49,71.99,64.49,64.49,51.49,42.39
2005-06-07,30.49,30.49,30.49,30.49,30.49,32.99,32.99,32.99,37.49,37.49,64.49,64.49,37.49,37.49,37.49,37.49,37.49,37.49,73.49,73.49,64.49,37.49,32.99,32.99
2005-06-08,32.49,32.49,32.49,32.49,32.49,62.49,63.49,63.49,63.49,64.49,64.49,73.49,64.49,64.49,64.49,64.49,64.49,64.49,85.49,88.21,85.49,64.49,63.49,62.49
2005-06-09,61.49,59.49,59.49,59.49,59.49,61.99,61.99,63.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,64.49,67.49,86.49,67.49,64.49,61.99,61.49
2005-06-10,32.49,31.49,31.49,31.49,32.49,32.49,42.72,57.49,63.49,63.49,64.49,64.49,63.49,63.49,63.49,63.49,63.49,64.49,70.49,72.49,70.49,64.49,57.49,32.49
2005-06-11,31.44,31.44,31.44,31.44,31.44,31.44,32.49,32.49,32.49,32.49,32.49,60.49,60.49,32.49,32.49,32.49,32.49,32.49,64.49,70.49,64.49,63.49,32.49,31.44
2005-06-12,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,33.49,59.49,59.49,59.49,33.49,33.49,33.49,33.49,63.49,64.49,64.49,63.49,63.49,33.49
2005-06-13,32.49,32.49,32.49,32.49,32.49,33.54,33.54,33.54,63.49,63.99,65.49,65.49,63.99,63.99,63.99,63.99,63.99,63.99,85.49,86.49,85.49,65.49,62.49,33.54
2005-06-14,56.49,33.54,56.49,33.54,56.49,56.49,57.49,57.49,58.49,62.49,63.49,65.49,62.49,62.49,63.49,63.49,62.49,62.49,65.49,85.49,65.49,65.49,57.49,56.49
2005-06-15,56.99,56.99,56.99,56.99,56.99,56.99,59.49,59.49,59.49,59.49,59.49,59.49,59.49,59.49,59.49,59.49,59.49,59.49,65.49,73.49,65.49,59.49,59.49,56.99
2005-06-16,54.49,32.49,32.49,32.49,54.49,58.99,59.49,59.49,59.49,59.49,64.49,64.49,59.49,59.49,64.49,64.49,64.49,64.49,72.49,73.49,65.49,64.49,59.49,55.49
2005-06-17,51.49,47.49,47.49,47.49,51.49,51.49,51.49,57.49,62.49,62.49,62.49,62.49,62.49,62.49,62.49,62.49,57.49,57.49,65.49,73.49,65.49,65.49,62.49,54.49
2005-06-18,53.49,53.49,53.49,53.49,53.49,53.49,53.49,53.49,53.49,61.49,61.49,61.49,61.49,53.49,53.49,53.49,53.49,53.49,65.49,73.49,65.49,62.49,53.49,53.49
2005-06-19,53.59,53.59,53.59,53.59,53.59,53.59,53.59,53.59,53.59,53.59,56.59,56.59,56.59,56.59,53.59,53.59,53.59,53.59,56.59,61.49,61.49,56.59,56.59,53.59
2005-06-20,53.59,53.59,53.59,53.59,53.59,53.59,56.49,56.59,56.59,56.59,57.49,57.49,56.59,56.59,56.59,56.59,56.59,56.59,73.49,73.49,73.49,57.49,56.59,56.49
2005-06-21,56.49,56.49,56.49,56.49,56.49,67.49,67.49,67.49,67.49,67.49,67.49,69.49,67.49,67.49,67.49,67.49,67.49,67.49,70.49,70.49,69.49,67.49,67.49,56.49
2005-06-22,62.49,55.49,55.49,55.49,55.49,62.49,66.49,69.49,69.49,70.49,70.49,70.49,70.49,69.99,69.99,70.49,69.49,69.49,92.49,92.49,92.49,70.49,67.49,62.49
2005-06-23,48.49,29.56,29.56,29.56,29.56,61.49,67.49,69.49,92.49,92.49,92.49,92.49,92.49,92.49,92.49,92.49,92.49,92.49,92.49,93.49,92.49,92.49,69.49,61.49
2005-06-24,60.49,60.49,60.49,60.49,60.49,60.99,64.99,64.99,64.99,67.49,67.49,67.49,67.49,64.99,67.49,67.49,64.99,64.99,77.49,93.49,77.49,67.49,64.99,64.99
2005-06-25,59.49,58.49,58.49,58.49,58.49,59.49,59.49,59.49,59.49,60.49,62.39,62.39,62.39,60.49,59.49,59.49,59.49,59.49,62.39,72.49,64.89,62.39,60.49,59.49
2005-06-26,58.49,58.09,58.09,58.09,58.09,58.09,58.09,58.09,58.49,58.49,58.49,58.49,58.49,58.49,58.49,58.49,58.49,58.49,59.49,64.89,61.49,59.49,58.49,58.49
2005-06-27,52.49,52.49,52.49,52.49,52.49,57.99,57.99,58.49,60.49,72.59,72.59,72.59,72.59,72.59,72.59,72.59,72.59,72.59,72.59,82.48,72.59,72.59,60.49,57.99
2005-06-28,55.49,47.49,47.49,47.49,48.49,58.49,59.49,66.49,71.49,71.49,71.49,71.49,71.49,71.49,71.49,71.49,71.49,71.49,71.49,73.49,71.49,71.49,66.49,59.49
2005-06-29,58.49,58.49,58.49,58.49,58.49,62.49,65.49,69.49,71.49,71.49,71.49,71.49,71.49,71.49,71.49,71.49,71.49,71.49,71.49,71.49,71.49,69.49,65.49,58.49
2005-06-30,46.99,46.99,46.99,46.99,46.99,46.99,47.49,58.49,64.49,64.49,64.49,69.49,64.49,64.49,64.49,64.49,64.49,58.49,69.49,73.49,69.49,64.49,58.49,46.99
