Fecha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2020-04-01,139.21,139.21,139.21,140.02,178.94,178.94,139.21,206.0,179.04,179.04,206.0,233.54,233.54,233.54,233.54,233.54,229.73,229.78,259.04,259.04,259.04,259.04,233.54,179.04
2020-04-02,148.09,148.09,139.09,138.27,139.09,148.09,133.11,148.11,158.11,158.11,168.01,179.11,222.84,253.81,222.84,179.11,179.11,179.11,253.81,268.11,268.11,253.81,179.11,159.06
2020-04-03,165.78,165.78,165.78,165.78,165.78,165.78,165.78,165.78,165.78,165.78,165.78,167.28,176.28,176.28,176.28,176.28,167.28,165.78,176.28,176.28,176.28,176.28,176.28,167.28
2020-04-04,177.14,177.14,159.64,159.64,159.64,159.64,159.64,159.64,178.14,177.14,178.14,217.14,217.14,217.14,217.14,217.14,217.14,217.14,267.14,287.14,267.14,267.14,217.14,217.14
2020-04-05,256.87,256.87,232.17,232.17,232.17,232.17,209.17,221.87,232.17,232.17,256.87,256.87,266.87,266.87,266.87,266.87,266.87,256.87,286.87,286.87,286.87,276.87,266.87,256.87
2020-04-06,237.22,237.22,233.22,233.22,233.22,233.22,233.22,237.22,272.92,272.92,277.22,287.22,287.22,287.22,287.22,287.22,287.22,277.22,287.22,287.22,287.22,287.22,287.22,272.92
2020-04-07,234.2,234.2,234.2,234.2,234.2,234.2,234.2,234.2,234.2,247.2,251.5,267.7,270.2,270.2,270.2,270.2,267.2,267.2,275.7,277.2,275.7,275.7,270.2,267.7
2020-04-08,265.93,265.13,251.43,237.13,237.13,237.13,237.13,265.13,266.03,267.13,268.63,268.63,268.63,268.63,268.63,268.63,268.63,268.63,268.63,268.63,268.63,268.63,268.63,266.03
2020-04-09,221.89,221.89,221.89,221.89,221.89,221.89,216.89,221.89,221.89,221.89,221.89,221.89,233.49,233.59,233.59,233.49,221.89,221.89,256.89,276.89,276.89,276.89,233.49,221.89
2020-04-10,216.99,216.99,216.99,216.99,216.99,216.99,216.99,216.99,216.99,216.99,216.99,216.99,217.99,217.99,217.99,217.99,216.99,216.99,217.99,258.49,227.49,258.49,258.49,227.49
2020-04-11,232.55,232.55,232.55,232.55,232.55,232.55,232.55,232.55,232.55,232.55,232.55,247.55,256.55,256.55,255.55,251.85,251.85,232.55,267.55,272.55,272.55,262.55,255.55,247.55
2020-04-12,254.58,235.58,235.58,235.58,235.58,235.58,209.88,227.58,251.88,256.58,263.58,263.58,263.58,263.58,263.58,263.58,263.58,263.58,263.58,312.58,312.58,307.58,263.58,263.58
2020-04-13,148.45,148.45,148.45,176.47,176.47,179.47,179.47,179.47,229.47,256.47,262.47,262.47,287.59,287.59,287.59,262.47,262.47,262.47,287.59,306.47,287.59,287.59,262.47,256.47
2020-04-14,204.18,204.18,216.31,204.18,216.71,204.18,204.18,216.31,227.18,227.18,256.18,256.18,256.18,256.18,256.18,256.18,256.18,256.18,256.18,290.3,256.18,256.18,256.18,227.18
2020-04-15,217.04,217.04,217.04,217.04,217.04,204.0,204.0,217.04,247.04,247.04,257.04,257.04,257.04,257.04,257.04,257.04,257.04,257.04,257.04,257.04,257.04,257.04,257.04,251.04
2020-04-16,247.84,228.34,228.04,228.34,228.84,228.84,228.84,247.84,262.84,247.84,247.84,262.84,262.84,262.84,262.84,262.84,262.84,262.84,262.84,265.84,262.84,262.84,247.84,247.84
2020-04-17,255.87,255.87,255.87,255.87,255.87,255.87,255.87,255.87,262.27,255.87,255.87,255.87,272.27,272.27,272.27,272.27,255.87,255.87,274.17,274.17,274.17,274.17,272.27,255.87
2020-04-18,267.61,267.5,267.5,267.5,267.5,257.5,247.5,257.5,267.5,267.5,267.5,267.61,273.1,267.61,267.61,267.61,267.5,267.5,283.1,283.1,283.1,283.1,267.61,267.5
2020-04-19,232.88,142.0,142.0,142.0,149.0,142.0,140.18,142.0,149.0,170.02,232.88,250.02,250.02,250.02,250.02,250.02,232.88,232.88,301.02,311.22,301.02,301.02,270.01,250.02
