Fecha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2013-02-01,201.55,198.41,198.41,198.41,198.41,201.55,201.55,206.05,206.55,207.55,207.55,207.55,207.55,207.55,207.55,207.55,207.55,207.55,207.55,207.55,207.55,207.55,206.05,201.55
2013-02-02,204.71,204.71,204.71,204.71,204.71,204.71,204.71,206.21,226.21,226.21,226.21,226.21,226.21,226.21,226.21,226.21,226.21,226.21,226.21,226.21,226.21,226.21,226.21,204.71
2013-02-03,235.35,255.35,215.35,215.35,215.35,215.35,205.35,215.35,235.35,235.35,235.35,235.35,236.35,236.35,235.35,235.35,235.35,235.35,237.35,237.35,237.35,237.35,236.35,235.35
2013-02-04,211.75,211.75,211.75,211.75,211.75,231.75,238.75,238.75,238.75,253.75,253.75,253.75,253.75,253.75,253.75,253.75,253.75,253.75,255.25,255.25,253.75,253.75,238.75,231.75
2013-02-05,182.02,159.43,159.43,159.43,159.43,208.02,222.02,222.02,232.02,232.02,232.02,232.02,232.02,232.02,232.02,232.02,232.02,232.02,232.02,232.02,232.02,232.02,222.02,208.02
2013-02-06,191.33,191.33,191.33,191.33,191.33,195.83,195.83,201.83,203.83,203.83,206.83,211.83,211.83,211.83,211.83,211.83,211.83,203.83,256.83,256.83,256.83,206.83,201.83,195.83
2013-02-07,196.23,196.23,196.23,196.23,197.23,197.23,197.23,197.23,210.23,210.23,252.03,252.03,252.03,252.03,252.03,252.03,210.23,210.23,252.03,252.03,252.03,210.23,197.23,197.23
2013-02-08,190.73,190.73,190.73,190.73,190.73,194.73,194.73,196.73,196.73,196.73,196.73,196.73,196.73,196.73,196.73,196.73,196.73,196.73,209.73,251.73,209.73,196.73,196.73,194.73
2013-02-09,191.06,190.73,190.73,190.73,190.73,191.06,190.73,196.73,196.73,196.73,196.73,196.73,196.73,196.73,196.73,196.73,196.73,196.73,221.73,221.73,221.73,196.73,196.73,190.73
2013-02-10,211.55,192.58,191.75,191.75,191.75,191.75,190.75,192.25,192.58,211.55,211.55,211.55,211.55,211.55,211.55,211.55,211.55,211.55,225.75,227.75,225.75,216.75,211.55,211.55
2013-02-11,191.14,160.86,160.86,158.71,191.14,191.64,192.14,192.14,192.14,197.14,207.14,207.14,207.14,207.14,207.14,207.14,207.14,207.14,207.14,207.14,207.14,207.14,192.14,191.14
2013-02-12,93.32,93.32,84.73,41.59,102.73,164.73,164.73,184.73,184.73,184.73,193.73,194.73,193.73,184.73,193.73,193.73,193.73,184.73,194.73,194.73,194.73,193.73,164.73,161.29
2013-02-13,174.71,166.71,166.71,166.71,173.7,179.71,184.71,184.71,184.71,194.01,194.01,194.01,194.01,194.01,194.01,194.01,194.01,194.01,194.01,194.01,194.01,194.01,184.71,174.71
2013-02-14,174.04,174.04,161.55,161.55,174.04,176.04,176.04,176.04,176.04,179.04,179.04,184.04,179.04,179.04,184.04,184.04,184.04,179.04,184.04,188.94,184.04,184.04,176.04,176.04
2013-02-15,173.86,173.86,173.86,163.86,173.86,174.29,174.29,174.86,174.86,174.86,178.86,178.86,174.86,174.86,178.86,178.86,178.86,174.86,182.86,182.86,178.86,178.86,174.86,173.86
2013-02-16,159.44,159.44,156.93,156.93,156.93,159.44,159.44,167.9,170.93,170.93,170.93,172.43,170.93,170.93,170.93,170.93,170.93,170.93,172.43,172.43,172.43,170.93,170.93,166.93
2013-02-17,151.93,151.93,151.93,151.93,151.93,151.93,151.93,151.93,158.65,158.65,158.65,166.93,166.93,166.93,166.93,158.65,158.65,158.65,176.93,176.93,176.93,176.93,166.93,158.65
2013-02-18,153.98,151.99,151.99,151.99,151.99,156.99,166.99,166.99,166.99,166.99,176.49,176.49,176.49,176.49,176.49,176.49,176.49,176.49,176.49,176.99,176.49,176.49,166.99,157.91
2013-02-19,94.32,94.32,94.32,94.32,94.32,101.32,156.95,159.32,161.24,165.32,165.32,165.32,165.32,165.32,165.32,165.32,165.32,165.32,175.32,185.32,175.32,165.32,161.24,159.32
2013-02-20,166.01,165.91,165.91,165.91,166.01,166.01,166.01,166.01,166.51,166.51,166.51,166.51,166.51,166.51,166.51,166.51,166.51,166.51,166.51,167.17,166.51,166.51,166.51,166.01
2013-02-21,153.91,153.91,153.91,153.91,153.91,154.41,155.41,162.41,162.41,162.41,162.91,162.91,162.41,162.41,162.41,162.41,162.41,162.41,162.91,162.91,162.91,162.91,162.41,154.41
2013-02-22,147.24,147.24,108.24,107.24,147.24,160.24,160.24,160.24,160.24,160.24,161.09,165.34,165.34,165.34,165.34,165.34,165.34,161.09,168.24,177.33,168.24,165.34,165.34,160.24
2013-02-23,157.67,157.63,157.67,157.67,157.67,157.67,157.67,157.67,157.67,157.67,157.67,158.13,157.67,157.67,157.67,157.67,158.13,158.13,159.67,159.67,159.67,159.67,158.13,157.67
2013-02-24,145.53,145.53,145.53,145.53,145.53,145.53,145.53,145.53,147.03,147.03,147.03,161.03,161.03,161.03,148.11,147.03,147.03,147.03,161.03,161.23,161.23,161.03,161.03,147.03
2013-02-25,122.4,122.4,122.4,122.4,122.4,142.4,142.4,152.0,153.49,153.99,157.3,157.3,157.3,157.3,157.3,157.3,157.3,157.3,157.3,157.3,157.3,153.99,152.0,142.4
