Fecha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017-05-01,100.6,100.6,100.6,100.6,100.6,100.6,101.1,100.6,100.6,101.1,101.1,101.1,101.1,101.1,101.1,101.1,101.1,101.1,110.1,127.6,110.1,101.1,101.1,101.1
2017-05-02,80.46,80.46,80.46,68.96,80.46,80.46,80.46,85.06,93.95,100.96,100.96,104.06,100.96,104.06,104.06,104.06,104.06,104.06,110.96,110.96,104.06,104.06,93.95,85.06
2017-05-03,66.89,66.89,66.89,63.71,66.89,66.89,66.89,80.59,95.69,95.69,95.69,110.59,110.59,110.59,111.59,111.59,110.59,95.69,111.59,120.59,95.69,95.69,80.59,73.59
2017-05-04,70.26,70.26,70.26,63.49,70.26,74.36,74.36,87.48,90.36,90.36,90.36,90.36,90.36,90.36,111.36,111.36,90.36,90.36,111.36,111.36,90.36,90.36,87.48,74.36
2017-05-05,63.83,63.83,63.83,63.83,63.83,63.83,63.83,63.83,71.71,90.71,90.71,110.71,90.71,90.71,90.71,90.71,90.71,77.71,90.71,90.71,90.71,71.71,63.83,63.83
2017-05-06,63.94,67.82,63.94,63.94,63.94,63.94,67.82,70.82,80.82,80.82,80.82,80.82,80.82,80.82,80.82,80.82,70.82,70.82,80.82,89.93,80.82,80.82,70.82,67.82
2017-05-07,78.64,78.64,62.65,62.65,62.65,62.65,62.65,62.65,78.64,78.64,78.64,78.64,89.53,89.53,78.64,62.65,62.65,62.65,78.64,89.53,89.53,78.64,78.64,62.65
2017-05-08,62.86,62.86,62.86,62.86,62.86,62.86,62.86,73.85,73.85,73.85,89.73,89.73,89.73,89.73,89.73,89.73,89.73,89.73,89.73,94.73,89.73,89.73,73.85,66.73
2017-05-09,63.99,63.99,63.99,63.99,63.99,63.99,63.99,63.99,65.87,68.07,91.98,91.98,91.98,91.98,68.07,68.07,68.07,68.07,68.07,68.07,68.07,63.99,63.99,63.99
2017-05-10,66.26,66.26,66.26,66.26,66.26,66.26,66.26,66.26,66.26,67.25,67.25,67.25,67.25,67.25,67.25,67.25,67.25,67.25,71.14,71.14,67.25,67.25,66.26,66.26
2017-05-11,62.51,62.51,62.51,62.51,62.51,62.51,62.51,62.51,62.51,62.51,62.51,62.51,62.51,62.51,62.51,62.51,62.51,62.51,74.39,74.39,62.51,62.51,62.51,62.51
2017-05-12,64.06,64.06,64.06,64.06,64.06,64.06,64.06,64.06,64.06,75.94,64.06,75.94,75.94,75.94,75.94,64.06,64.06,64.06,64.06,64.06,64.06,64.06,64.06,64.06
2017-05-13,63.98,63.98,63.98,63.98,63.98,63.98,63.98,63.98,63.98,70.86,63.98,68.86,68.86,63.98,63.98,63.98,63.98,63.98,63.98,63.98,63.98,63.98,63.98,63.98
2017-05-14,65.96,65.96,65.96,65.96,65.96,65.96,65.96,65.96,65.96,65.96,65.96,65.96,65.96,65.96,65.96,65.96,65.96,65.96,65.96,65.96,65.96,65.96,65.96,65.96
2017-05-15,64.0,64.0,64.0,64.0,64.0,64.0,64.0,65.88,65.88,65.88,64.0,65.88,64.0,64.0,65.88,65.88,65.88,65.88,70.88,70.88,65.88,65.88,64.0,64.0
2017-05-16,64.25,64.25,64.25,64.25,64.25,64.25,64.25,66.13,73.13,73.13,73.13,73.13,73.13,73.13,73.13,73.13,73.13,73.13,73.13,86.13,73.13,73.13,66.13,64.25
2017-05-17,65.78,65.78,65.78,65.78,65.78,65.78,65.78,65.78,65.78,65.78,67.65,67.65,67.65,67.65,67.65,67.65,67.65,67.65,67.65,67.65,67.65,65.78,65.78,65.78
2017-05-18,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,67.68,67.68,67.68,67.68,67.68,67.68,67.68,65.8,67.68,67.68,67.68,65.8,65.8,65.8
2017-05-19,64.55,64.55,64.55,64.55,64.55,64.55,64.55,64.55,64.55,64.55,66.42,66.42,66.42,66.42,66.42,66.42,66.42,64.55,66.42,66.42,66.42,64.55,64.55,64.55
2017-05-20,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,66.26,66.26,66.26,64.39,64.39,64.39,64.39,64.39,66.26,66.26,66.26,64.39,64.39,64.39
2017-05-21,62.64,62.64,62.64,62.64,62.64,62.64,62.64,62.64,62.64,62.64,62.64,62.64,62.64,62.64,62.64,62.64,62.64,62.64,62.64,64.52,64.52,62.64,62.64,62.64
2017-05-22,64.94,64.94,64.94,64.94,64.94,64.94,64.94,64.94,64.94,64.94,66.72,66.72,66.72,66.72,68.82,66.72,66.72,64.94,68.82,68.82,68.82,64.94,64.94,64.94
2017-05-23,64.73,64.73,64.73,64.73,64.73,64.73,64.73,64.73,64.73,64.73,64.73,64.73,64.73,64.73,64.73,64.73,64.73,64.73,64.73,68.61,64.73,64.73,64.73,64.73
2017-05-24,64.04,64.04,64.04,64.04,64.04,64.04,64.04,64.04,64.04,64.04,64.04,64.04,64.04,64.04,64.04,64.04,64.04,64.04,64.04,64.04,64.04,64.04,64.04,64.04
2017-05-25,65.12,65.12,65.12,65.12,65.12,65.12,65.12,65.12,65.12,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,69.11,67.99,67.99,65.12,65.12
2017-05-26,66.79,66.79,66.79,66.79,66.79,66.79,66.79,66.79,66.79,66.79,70.66,70.66,70.66,70.66,70.66,70.66,69.66,66.79,70.66,70.66,69.66,66.79,66.79,66.79
2017-05-27,64.86,64.86,64.86,64.86,64.86,64.86,64.86,65.64,65.64,67.85,67.85,67.85,67.85,67.85,67.85,67.85,67.85,65.64,67.85,96.74,67.85,67.85,65.64,64.86
2017-05-28,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5
2017-05-29,69.12,69.12,69.12,69.12,69.12,69.12,69.12,69.12,69.12,69.12,69.12,69.12,69.12,69.12,69.12,69.12,69.12,69.12,69.12,69.9,69.9,69.12,69.12,69.12
2017-05-30,65.94,65.94,65.94,65.94,65.94,65.94,65.94,65.94,66.14,66.14,66.72,66.72,66.72,66.72,66.72,66.72,66.72,66.14,66.72,66.72,66.72,66.14,65.94,65.94
2017-05-31,64.88,64.88,64.88,64.88,64.88,64.88,64.88,64.88,64.95,64.95,102.75,102.75,102.75,102.75,265.04,102.75,64.95,64.88,64.95,64.95,64.95,64.88,64.88,64.88
