Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Langa K.M., Cutler D.","35500660200;7102733401;","Opportunities for new insights on the life-course risks and outcomes of cognitive decline in the Kavli HUMAN project",2015,"Big Data","3","3",,"189","192",,1,"10.1089/big.2015.0015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991822022&doi=10.1089%2fbig.2015.0015&partnerID=40&md5=754c1fd1948237cb4f28327de1636078","University of Michigan, Ann Arbor, MI  48109, United States; Harvard University, Cambridge, MA, United States","Langa, K.M., University of Michigan, Ann Arbor, MI  48109, United States; Cutler, D., Harvard University, Cambridge, MA, United States","aging; cognitive decline; population research",,Article,"Final",Open Access,Scopus,2-s2.0-84991822022
"Drewnowski A., Kawachi I.","7005010204;7103096477;","Diets and health: How food decisions are shaped by biology, economics, geography, and social interactions",2015,"Big Data","3","3",,"193","197",,15,"10.1089/big.2015.0014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991821851&doi=10.1089%2fbig.2015.0014&partnerID=40&md5=06332641fd423c490a936e143a40cd75","University of Washingston, Seattle, WA, United States; Harvard University, Cambridge, MA, United States","Drewnowski, A., University of Washingston, Seattle, WA, United States; Kawachi, I., Harvard University, Cambridge, MA, United States","behavior; economics; food decisions; geography; nutrition; public health",,Article,"Final",,Scopus,2-s2.0-84991821851
"Horton J.J., Tambe P.","36175909200;20436737300;","Labor economists get their microscope: Big data and labor market analysis",2015,"Big Data","3","3",,"130","137",,5,"10.1089/big.2015.0017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991783972&doi=10.1089%2fbig.2015.0017&partnerID=40&md5=cb14725f0dfb75090fc0a871ae32cc2c","Information, Operations, and Management Sciences, Leonard N. Stern School of Business, New York University, 44 West 4th Street, New York, NY  10012, United States","Horton, J.J., Information, Operations, and Management Sciences, Leonard N. Stern School of Business, New York University, 44 West 4th Street, New York, NY  10012, United States; Tambe, P., Information, Operations, and Management Sciences, Leonard N. Stern School of Business, New York University, 44 West 4th Street, New York, NY  10012, United States","big data analytics; data acquisition and cleaning; data protection; policy; privacy",,Article,"Final",,Scopus,2-s2.0-84991783972
"Ausiello D., Lipnick S.","7005869518;35286011600;","Real-time assessment of wellness and disease in daily life",2015,"Big Data","3","3",,"203","208",,8,"10.1089/big.2015.0016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991781007&doi=10.1089%2fbig.2015.0016&partnerID=40&md5=2a9887427ccbe43d5601d25a502e5ba7","Center for Assessment Technology and Continuous Health, Massachussetts General Hospital, Boston, MA, United States","Ausiello, D., Center for Assessment Technology and Continuous Health, Massachussetts General Hospital, Boston, MA, United States; Lipnick, S., Center for Assessment Technology and Continuous Health, Massachussetts General Hospital, Boston, MA, United States","big data analytics; big data architecture; big data industry standards",,Article,"Final",Open Access,Scopus,2-s2.0-84991781007
"Cahsai A., Anagnostopoulos C., Triantafillou P.","57191591584;14031033700;7003940986;","Scalable data quality for big data: The pythia framework for handling missing values",2015,"Big Data","3","3",,"159","172",,1,"10.1089/big.2015.0002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991768859&doi=10.1089%2fbig.2015.0002&partnerID=40&md5=3902fdb43f5e1d11f102adb9fd7a882a","School of Computing Science, University of Glasgow, Lilybank Gardens, Glasgow, G12 8QQ, United Kingdom","Cahsai, A., School of Computing Science, University of Glasgow, Lilybank Gardens, Glasgow, G12 8QQ, United Kingdom; Anagnostopoulos, C., School of Computing Science, University of Glasgow, Lilybank Gardens, Glasgow, G12 8QQ, United Kingdom; Triantafillou, P., School of Computing Science, University of Glasgow, Lilybank Gardens, Glasgow, G12 8QQ, United Kingdom","adaptive resonance theory; adaptive vector quantization; big data; imputation; missing values; scalability; self-organizing maps",,Article,"Final",,Scopus,2-s2.0-84991768859
"Barfar A., Padmanabhan B.","35772346600;56512553400;","Does television viewership predict presidential election outcomes?",2015,"Big Data","3","3",,"138","147",,5,"10.1089/big.2015.0008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991747002&doi=10.1089%2fbig.2015.0008&partnerID=40&md5=2c98ef1434cb74302dc978b34c6cc915","Information Systems and Decision Sciences Department, Muma College of Business, University of South Florida, 4202 E. Fowler Avenue, Tampa, FL  33647, United States","Barfar, A., Information Systems and Decision Sciences Department, Muma College of Business, University of South Florida, 4202 E. Fowler Avenue, Tampa, FL  33647, United States; Padmanabhan, B., Information Systems and Decision Sciences Department, Muma College of Business, University of South Florida, 4202 E. Fowler Avenue, Tampa, FL  33647, United States","big data analytics; data acquisition and cleansing; election forecasting models; media analytics; predictive analytics; U.S. presidential election",,Article,"Final",,Scopus,2-s2.0-84991747002
"Bierut L., Cesarini D.","6701374894;20733741300;","How genetic and other biological factors interact with smoking decisions",2015,"Big Data","3","3",,"198","202",,1,"10.1089/big.2015.0013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991746064&doi=10.1089%2fbig.2015.0013&partnerID=40&md5=76fd15343efd62a368ce4a84221af70c","Washington University in St. Louis, 660 South Euclid, St. Louis, MO  63110, United States; New York University, New York, NY, United States","Bierut, L., Washington University in St. Louis, 660 South Euclid, St. Louis, MO  63110, United States; Cesarini, D., New York University, New York, NY, United States","deep phenotyping; genetics; smoking; smoking cessation",,Article,"Final",,Scopus,2-s2.0-84991746064
"Azmak O., Bayer H., Caplin A., Chun M., Glimcher P., Koonin S., Patrinos A.","57191592191;57208992612;35838500200;55258545100;6603900600;24546705400;6701834590;","Using big data to understand the human condition: The Kavli HUMAN project",2015,"Big Data","3","3",,"173","188",,19,"10.1089/big.2015.0012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991744743&doi=10.1089%2fbig.2015.0012&partnerID=40&md5=3e7235e67d466433ed319dd9a8be23f5","New York University, 19 W 4th Street, 6 FL, New York, NY  10012, United States; Kavli Foundation, Oxnard, CA, United States","Azmak, O., New York University, 19 W 4th Street, 6 FL, New York, NY  10012, United States; Bayer, H., New York University, 19 W 4th Street, 6 FL, New York, NY  10012, United States; Caplin, A., New York University, 19 W 4th Street, 6 FL, New York, NY  10012, United States; Chun, M., Kavli Foundation, Oxnard, CA, United States; Glimcher, P., New York University, 19 W 4th Street, 6 FL, New York, NY  10012, United States; Koonin, S., New York University, 19 W 4th Street, 6 FL, New York, NY  10012, United States; Patrinos, A., New York University, 19 W 4th Street, 6 FL, New York, NY  10012, United States","big data analytics; semistructured data; unstructured data",,Article,"Final",Open Access,Scopus,2-s2.0-84991744743
"Zhou X., Qin X., Li K.","35087204200;25959367100;7404989623;","Parallel Techniques for Large Data Analysis in the New Version of a Futures Trading Evaluation Service",2015,"Big Data Research","2","3",,"102","109",,4,"10.1016/j.bdr.2015.03.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955403484&doi=10.1016%2fj.bdr.2015.03.004&partnerID=40&md5=52012fdcd6680d6235c237a79cc6617a","Computer Science Department, Jiangsu Normal University, Xuzhou, Jiangsu, 221116, China; Information School, Renmin University of China, Beijing, 100872, China; Department of Computer Science, State University of New York, New Paltz, NY  12561, United States","Zhou, X., Computer Science Department, Jiangsu Normal University, Xuzhou, Jiangsu, 221116, China; Qin, X., Information School, Renmin University of China, Beijing, 100872, China; Li, K., Department of Computer Science, State University of New York, New Paltz, NY  12561, United States","Futures trading evaluation; Large data analysis; Parallel processing",,Article,"Final",,Scopus,2-s2.0-84955403484
"Ryan T., Lee Y.C.","57072552900;36062372800;","Multi-Tier Resource Allocation for Data-Intensive Computing",2015,"Big Data Research","2","3",,"110","116",,6,"10.1016/j.bdr.2015.03.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955272582&doi=10.1016%2fj.bdr.2015.03.001&partnerID=40&md5=fb1143d404e3d62142e3e7015436d8c3","School of Information Technologies, The University of SydneyNSW  2006, Australia; Department of Computing, Macquarie UniversityNSW  2109, Australia","Ryan, T., School of Information Technologies, The University of SydneyNSW  2006, Australia; Lee, Y.C., Department of Computing, Macquarie UniversityNSW  2109, Australia","Application heterogeneity; Big data; Cloud computing; Data-intensive computing; MapReduce; Resource allocation",,Article,"Final",,Scopus,2-s2.0-84955272582
